,2022-12-31CDAY,2021-12-31CDAY,2020-12-31CDAY
Basic EPS,-0.3558730673467945,-0.35687692837889085,-0.33328619412462623
Basic EPS,-0.3558730673467945,-0.35687692837889085,-0.33328619412462623
Net Income Common Stockholders,-0.3773947323727105,-0.37764660903999087,-0.36865461201808053
Net Income Common Stockholders,-0.3773947323727105,-0.37764660903999087,-0.36865461201808053
Total Liabilities Net Minority Interest,-0.23910024523468956,-0.2427144289327137,-0.24411003363764627
Net Income Including Noncontrolling Interests,-0.38130792311208,-0.3815577840169335,-0.37263774971366265
Net Income Including Noncontrolling Interests,-0.38130792311208,-0.3815577840169335,-0.37263774971366265
Net Income From Continuing Operation Net Minority Interest,-0.3746614698337428,-0.3749128320089381,-0.365939202354467
Net Income From Continuing Operation Net Minority Interest,-0.3746614698337428,-0.3749128320089381,-0.365939202354467
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4633158114834888,-0.45976028104447514,-0.46365299980624036
Share Issued,-0.4196186529772185,-0.4207763918513989,-0.42290554258118634
Invested Capital,-0.485131238422102,-0.48463876773398784,-0.4945247840474144
Net Tangible Assets,-0.20072639492827493,-0.19992116907648239,-0.18968524723166189
Normalized Income,-0.40923249627897873,-0.4094904068722227,-0.4002829986934136
Normalized Income,-0.40923249627897873,-0.4094904068722227,-0.4002829986934136
Basic Average Shares,-0.37730679688683005,-0.37905190385492504,-0.38154640393105
Basic Average Shares,-0.37730679688683005,-0.37905190385492504,-0.38154640393105
Operating Revenue,-0.48614951722932226,-0.4900864628172986,-0.49330872864313335
Operating Revenue,-0.48614951722932226,-0.4900864628172986,-0.49330872864313335
Common Stock,-0.24433704646853097,-0.24433704646853097,-0.24433704646853097
Stockholders Equity,-0.4551688462872956,-0.4515690019970912,-0.45551023710905925
Total Assets,-0.2753269562053283,-0.27816387183764596,-0.2799200397170926
Net Income Continuous Operations,-0.3763851647172947,-0.37663553291585555,-0.36769738822723325
Net Income Continuous Operations,-0.3763851647172947,-0.37663553291585555,-0.36769738822723325
Pretax Income,-0.3813938290040789,-0.38426073997414445,-0.37690512533196896
Pretax Income,-0.3813938290040789,-0.38426073997414445,-0.37690512533196896
Diluted EPS,-0.36786530675486107,-0.3689219329542068,-0.3440912172695832
Diluted EPS,-0.36786530675486107,-0.3689219329542068,-0.3440912172695832
Common Stock Equity,-0.4627769384474123,-0.4590223085319298,-0.4631330083462557
Net Income From Continuing And Discontinued Operation,-0.37962421805663377,-0.3798750818336514,-0.3709192449941229
Net Income From Continuing And Discontinued Operation,-0.37962421805663377,-0.3798750818336514,-0.3709192449941229
Total Revenue,-0.4859907076096801,-0.4899274182987084,-0.4931494918671608
Total Revenue,-0.4859907076096801,-0.4899274182987084,-0.4931494918671608
Total Capitalization,-0.4814754662653317,-0.4809749705359407,-0.4911757958659007
Diluted Average Shares,-0.37863150172142335,-0.3803561335758469,-0.38282136600617944
Diluted Average Shares,-0.37863150172142335,-0.3803561335758469,-0.38282136600617944
Ordinary Shares Number,-0.3745586039675525,-0.3758140580658268,-0.37812291291139616
Net Income,-0.3796271395132295,-0.3798780034624396,-0.3709221604756389
Net Income,-0.3796271395132295,-0.3798780034624396,-0.3709221604756389
Capital Stock,-0.26688826856228803,-0.26688826856228803,-0.26688826856228803
Diluted NI Availto Com Stockholders,-0.37717594008474026,-0.37742780674321813,-0.3684361670355567
Diluted NI Availto Com Stockholders,-0.37717594008474026,-0.37742780674321813,-0.3684361670355567
Tangible Book Value,-0.19637981640850996,-0.19553819412837042,-0.18483960582151207
Tax Rate For Calcs,0.24701343810091272,-0.3622447565198547,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-0.3622447565198547,1.0593576975952699
