,2022-12-31VZ,2021-12-31VZ,2020-12-31VZ
Basic EPS,-0.0778035614561007,-0.06475336803884789,-0.11595028067576266
Basic EPS,-0.0778035614561007,-0.06475336803884789,-0.11595028067576266
Net Income Common Stockholders,2.308794361172597,2.4106784730875197,1.873677418445702
Net Income Common Stockholders,2.308794361172597,2.4106784730875197,1.873677418445702
Total Liabilities Net Minority Interest,0.9311500632614746,0.9152602969398197,0.7647753521919199
Net Income Including Noncontrolling Interests,2.344849451473295,2.4535389450845795,1.9200859132222996
Net Income Including Noncontrolling Interests,2.344849451473295,2.4535389450845795,1.9200859132222996
Net Income From Continuing Operation Net Minority Interest,2.3060407199712376,2.407716719837724,1.8718125623214115
Net Income From Continuing Operation Net Minority Interest,2.3060407199712376,2.407716719837724,1.8718125623214115
Tax Effect Of Unusual Items,-0.562746001674452,-2.1612813168591964,0.05118801339747603
Tax Effect Of Unusual Items,-0.562746001674452,-2.1612813168591964,0.05118801339747603
Total Equity Gross Minority Interest,2.256878727673746,1.978005921098098,1.5586881568763962
Share Issued,2.1535429900767933,2.1535429900767933,2.1535429900767933
Invested Capital,3.4821261099045744,3.330308710274791,2.7354507040979943
Net Tangible Assets,-3.555781793796674,-3.8057088855077077,-2.410348019621778
Normalized Income,2.448109060570977,2.796780454862222,1.9085086463412764
Normalized Income,2.448109060570977,2.796780454862222,1.9085086463412764
Basic Average Shares,2.4068159569147225,2.369685699569257,2.364184920703262
Basic Average Shares,2.4068159569147225,2.369685699569257,2.364184920703262
Operating Revenue,1.9183807888022608,1.8612418758091982,1.7668793196217103
Operating Revenue,1.9183807888022608,1.8612418758091982,1.7668793196217103
Common Stock,-0.19894385101916506,-0.19894385101916506,-0.19894385101916506
Stockholders Equity,2.25872358758763,1.9736012887682266,1.5484477903789773
Total Assets,1.129013521603147,1.0795884828105458,0.8902781939775269
Net Income Continuous Operations,2.3553071393205647,2.4642173056945342,1.9296812017671208
Net Income Continuous Operations,2.3553071393205647,2.4642173056945342,1.9296812017671208
Pretax Income,2.583232767154333,2.7034546906800747,2.1328975549221374
Pretax Income,2.583232767154333,2.7034546906800747,2.1328975549221374
Diluted EPS,-0.07517984953610597,-0.06144370894461201,-0.11533164511124205
Diluted EPS,-0.07517984953610597,-0.06144370894461201,-0.11533164511124205
Common Stock Equity,2.3678070807991163,2.070425131354383,1.626990939473355
Net Income From Continuing And Discontinued Operation,2.2957627047030233,2.397237102506645,1.86239552990511
Net Income From Continuing And Discontinued Operation,2.2957627047030233,2.397237102506645,1.86239552990511
Total Revenue,1.918396131455711,1.861260627671706,1.766903701652249
Total Revenue,1.918396131455711,1.861260627671706,1.766903701652249
Total Capitalization,3.4484857975771117,3.334885306421512,2.746673830642327
Diluted Average Shares,2.374184560717314,2.3374899478645346,2.332053708923382
Diluted Average Shares,2.374184560717314,2.3374899478645346,2.332053708923382
Ordinary Shares Number,2.3540270406594477,2.352636133281385,2.3123957041055365
Net Income,2.2957616196277715,2.3972360870832587,1.862394147367316
Net Income,2.2957616196277715,2.3972360870832587,1.862394147367316
Capital Stock,-0.22428529544168274,-0.22428529544168274,-0.22428529544168274
Diluted NI Availto Com Stockholders,2.3089064125846437,2.410786475938959,1.8738067600640511
Diluted NI Availto Com Stockholders,2.3089064125846437,2.410786475938959,1.8738067600640511
Tangible Book Value,-3.703084635316291,-3.964308499808749,-2.505876941817818
Tax Rate For Calcs,0.5313339289239379,0.5313339289239379,0.5719511418986558
Tax Rate For Calcs,0.5313339289239379,0.5313339289239379,0.5719511418986558
