,2022-12-31LDOS,2021-12-31LDOS,2020-12-31LDOS
Basic EPS,-0.08081514455238979,-0.06374950700675154,-0.10992711448318444
Basic EPS,-0.08081514455238979,-0.06374950700675154,-0.10992711448318444
Net Income Common Stockholders,-0.2818831001399819,-0.2733192934524482,-0.2890615851574734
Net Income Common Stockholders,-0.2818831001399819,-0.2733192934524482,-0.2890615851574734
Total Liabilities Net Minority Interest,-0.226998073565158,-0.22617052488732253,-0.22732243937858096
Net Income Including Noncontrolling Interests,-0.28556122437220854,-0.2773158145120421,-0.2935567733275214
Net Income Including Noncontrolling Interests,-0.28556122437220854,-0.2773158145120421,-0.2935567733275214
Net Income From Continuing Operation Net Minority Interest,-0.279344932999697,-0.27079861904305785,-0.2865087549927621
Net Income From Continuing Operation Net Minority Interest,-0.279344932999697,-0.27079861904305785,-0.2865087549927621
Tax Effect Of Unusual Items,0.09861742884632906,0.12026510377999551,0.1233684614346013
Tax Effect Of Unusual Items,0.09861742884632906,0.12026510377999551,0.1233684614346013
Total Equity Gross Minority Interest,-0.395769764972302,-0.396040719874513,-0.41028090529071526
Share Issued,-0.4301018107127954,-0.4282361088956942,-0.42679268940597503
Invested Capital,-0.3871628465338811,-0.3847004930933104,-0.3973616482843531
Net Tangible Assets,-0.2995644562618616,-0.30915210305651014,-0.31041453341737135
Normalized Income,-0.30528137376141046,-0.30003186154652306,-0.31639564391136876
Normalized Income,-0.30528137376141046,-0.30003186154652306,-0.31639564391136876
Basic Average Shares,-0.388267304368935,-0.38551691493593754,-0.3848293175776882
Basic Average Shares,-0.388267304368935,-0.38551691493593754,-0.3848293175776882
Operating Revenue,-0.2529511069015215,-0.2646378057415054,-0.2901747500959468
Operating Revenue,-0.2529511069015215,-0.2646378057415054,-0.2901747500959468
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.38842694063249916,-0.38867079121947323,-0.4017472789459564
Total Assets,-0.25585838658370585,-0.25514065826128196,-0.2579737963761131
Net Income Continuous Operations,-0.2804440710287772,-0.2721819204762692,-0.2884558533827244
Net Income Continuous Operations,-0.2804440710287772,-0.2721819204762692,-0.2884558533827244
Pretax Income,-0.28210872610279397,-0.27363355133727174,-0.29309506376180433
Pretax Income,-0.28210872610279397,-0.27363355133727174,-0.29309506376180433
Diluted EPS,-0.08046298053283439,-0.06408527444297626,-0.11216176651320496
Diluted EPS,-0.08046298053283439,-0.06408527444297626,-0.11216176651320496
Common Stock Equity,-0.39316527322353084,-0.3934196088655618,-0.40705835766947357
Net Income From Continuing And Discontinued Operation,-0.28449667381155774,-0.27596730539295916,-0.2916462914565595
Net Income From Continuing And Discontinued Operation,-0.28449667381155774,-0.27596730539295916,-0.2916462914565595
Total Revenue,-0.252806211129572,-0.26449221267943523,-0.290027633365024
Total Revenue,-0.252806211129572,-0.26449221267943523,-0.290027633365024
Total Capitalization,-0.3971273165718733,-0.3858274645371679,-0.39232874926946415
Diluted Average Shares,-0.38878388112345613,-0.3853862317852358,-0.3847067019175917
Diluted Average Shares,-0.38878388112345613,-0.3853862317852358,-0.3847067019175917
Ordinary Shares Number,-0.3859265588972023,-0.38390338852202094,-0.38233814185516796
Net Income,-0.2844995299727579,-0.27597015569961436,-0.29164915252524587
Net Income,-0.2844995299727579,-0.27597015569961436,-0.29164915252524587
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.2816681031899162,-0.2731046368016672,-0.2888463029565366
Diluted NI Availto Com Stockholders,-0.2816681031899162,-0.2731046368016672,-0.2888463029565366
Tangible Book Value,-0.29968538509953424,-0.3097063961469583,-0.31102588870480413
Tax Rate For Calcs,0.35532600603349374,0.31470879305877586,0.043927373227323714
Tax Rate For Calcs,0.35532600603349374,0.31470879305877586,0.043927373227323714
