,2022-12-31ELV,2021-12-31ELV,2020-12-31ELV
Basic EPS,0.9390869343272069,0.9354464824873608,0.6033511835713048
Basic EPS,0.9390869343272069,0.9354464824873608,0.6033511835713048
Net Income Common Stockholders,0.3906276014986925,0.40057672985626847,0.2076392027194802
Net Income Common Stockholders,0.3906276014986925,0.40057672985626847,0.2076392027194802
Total Liabilities Net Minority Interest,0.012783116203651343,-0.008200856803171619,-0.041119828329531226
Net Income Including Noncontrolling Interests,0.37981836525273344,0.38931307963716744,0.19904400059120675
Net Income Including Noncontrolling Interests,0.37981836525273344,0.38931307963716744,0.19904400059120675
Net Income From Continuing Operation Net Minority Interest,0.39179207477167005,0.40172088069188316,0.20917745449230746
Net Income From Continuing Operation Net Minority Interest,0.39179207477167005,0.40172088069188316,0.20917745449230746
Tax Effect Of Unusual Items,0.1359644425032954,0.12234056197615269,0.10896944361092357
Tax Effect Of Unusual Items,0.1359644425032954,0.12234056197615269,0.10896944361092357
Total Equity Gross Minority Interest,0.5688597929992338,0.5608515703338854,0.47267080271431583
Share Issued,-0.3673159276951522,-0.36494482031571096,-0.36268689573700413
Invested Capital,0.4647116187641091,0.4425837128454667,0.34513773918720475
Net Tangible Assets,-0.13039878790646162,-0.1437737257836937,-0.11354363660199053
Normalized Income,0.37718848464048094,0.38945845215876534,0.1932193110160102
Normalized Income,0.37718848464048094,0.38945845215876534,0.1932193110160102
Basic Average Shares,-0.3188488042057729,-0.31622721619752003,-0.31373076747048184
Basic Average Shares,-0.3188488042057729,-0.31622721619752003,-0.31373076747048184
Operating Revenue,2.2688044141104284,1.9503729052018526,1.6529384394291509
Operating Revenue,2.2688044141104284,1.9503729052018526,1.6529384394291509
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.2441777720985332
Stockholders Equity,0.5872192578506593,0.5796903709778357,0.49248330481124236
Total Assets,0.08298870946758824,0.0629225365796107,0.02195535943915201
Net Income Continuous Operations,0.3862864417387647,0.395800433284077,0.20514505007999018
Net Income Continuous Operations,0.3862864417387647,0.395800433284077,0.20514505007999018
Pretax Income,0.4380718653921413,0.4543944241998138,0.27788059914504765
Pretax Income,0.4380718653921413,0.4543944241998138,0.27788059914504765
Diluted EPS,0.9682385223177594,0.9640120175203768,0.6074006752412076
Diluted EPS,0.9682385223177594,0.9640120175203768,0.6074006752412076
Common Stock Equity,0.6244316305424532,0.6165790175947464,0.5256222336134143
Net Income From Continuing And Discontinued Operation,0.3853096108254489,0.39521873001764435,0.2030570768221585
Net Income From Continuing And Discontinued Operation,0.3853096108254489,0.39521873001764435,0.2030570768221585
Total Revenue,2.268798848641291,1.9503863390368237,1.6529696197738406
Total Revenue,2.268798848641291,1.9503863390368237,1.6529696197738406
Total Capitalization,0.4702094235470891,0.44545982373287135,0.3649161295494233
Diluted Average Shares,-0.31756915099435806,-0.3148510315237818,-0.3097545575164513
Diluted Average Shares,-0.31756915099435806,-0.3148510315237818,-0.3097545575164513
Ordinary Shares Number,-0.3178414354672096,-0.3152702023995842,-0.3128217049627692
Net Income,0.38530721441822097,0.3952163404120201,0.20305455531708008
Net Income,0.38530721441822097,0.3952163404120201,0.20305455531708008
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2667387844460754
Diluted NI Availto Com Stockholders,0.3908158749461078,0.4007646079559853,0.207834747561905
Diluted NI Availto Com Stockholders,0.3908158749461078,0.4007646079559853,0.207834747561905
Tangible Book Value,-0.12287338234818848,-0.13685287106915006,-0.10525637360289505
Tax Rate For Calcs,0.45009950297450213,0.5313339289239379,1.0187404846205521
Tax Rate For Calcs,0.45009950297450213,0.5313339289239379,1.0187404846205521
