,2022-12-31CZR,2021-12-31CZR,2020-12-31CZR
Basic EPS,-0.5420892888006706,-0.5742128418277544,-1.0093865992415296
Basic EPS,-0.5420892888006706,-0.5742128418277544,-1.0093865992415296
Net Income Common Stockholders,-0.4813694206260606,-0.49648202066288477,-0.5894245108893532
Net Income Common Stockholders,-0.4813694206260606,-0.49648202066288477,-0.5894245108893532
Total Liabilities Net Minority Interest,-0.13942762101310135,-0.12398281805088564,-0.13287792670359952
Net Income Including Noncontrolling Interests,-0.4858247396123103,-0.4990673675695472,-0.5917657632702056
Net Income Including Noncontrolling Interests,-0.4858247396123103,-0.4990673675695472,-0.5917657632702056
Net Income From Continuing Operation Net Minority Interest,-0.42991087594166283,-0.4897350736381368,-0.5837445271611671
Net Income From Continuing Operation Net Minority Interest,-0.42991087594166283,-0.4897350736381368,-0.5837445271611671
Tax Effect Of Unusual Items,0.09410702849040425,-0.165906599001644,-0.38118694077191756
Tax Effect Of Unusual Items,0.09410702849040425,-0.165906599001644,-0.38118694077191756
Total Equity Gross Minority Interest,-0.4138936373201958,-0.3901098181261159,-0.37526751070500025
Share Issued,-0.38157193998410277,-0.3823523767360095,-0.3857769395865643
Invested Capital,-0.2663577902366914,-0.23654334857788906,-0.22183577802745308
Net Tangible Assets,-0.5949049212244155,-0.5782203686173581,-0.49684478995103526
Normalized Income,-0.44114944801410433,-0.47900840190697735,-0.5595608437630812
Normalized Income,-0.44114944801410433,-0.47900840190697735,-0.5595608437630812
Basic Average Shares,-0.3353223077837341,-0.3373850998584822,-0.39308048587668054
Basic Average Shares,-0.3353223077837341,-0.3373850998584822,-0.39308048587668054
Operating Revenue,-0.3388900182498707,-0.35719149503722036,-0.450188534061311
Operating Revenue,-0.3388900182498707,-0.35719149503722036,-0.450188534061311
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.406288996128348,-0.3829098211022114,-0.3665718317749503
Total Assets,-0.17858548888105735,-0.1615715501221246,-0.16778934390480738
Net Income Continuous Operations,-0.4327931198530541,-0.4906281737206103,-0.5847666163794897
Net Income Continuous Operations,-0.4327931198530541,-0.4906281737206103,-0.5847666163794897
Pretax Income,-0.4339294493715941,-0.5075902275805778,-0.5428511398766396
Pretax Income,-0.4339294493715941,-0.5075902275805778,-0.5428511398766396
Diluted EPS,-0.5638694667334859,-0.597681505112548,-1.055728962528903
Diluted EPS,-0.5638694667334859,-0.597681505112548,-1.055728962528903
Common Stock Equity,-0.4117953590023007,-0.3874109293225797,-0.3703704413065035
Net Income From Continuing And Discontinued Operation,-0.4831807852095013,-0.49823261183055767,-0.590801345550054
Net Income From Continuing And Discontinued Operation,-0.4831807852095013,-0.49823261183055767,-0.590801345550054
Total Revenue,-0.31620143956775254,-0.3383853362883578,-0.44375441247847497
Total Revenue,-0.31620143956775254,-0.3383853362883578,-0.44375441247847497
Total Capitalization,-0.2570401098402516,-0.2255656361362777,-0.2103099759311275
Diluted Average Shares,-0.3371396111825071,-0.33917820078543937,-0.39422012006460866
Diluted Average Shares,-0.3371396111825071,-0.33917820078543937,-0.39422012006460866
Ordinary Shares Number,-0.33354549500347674,-0.3341469876023589,-0.33801153368109926
Net Income,-0.48318377774716065,-0.4982356146997669,-0.5908044119582954
Net Income,-0.48318377774716065,-0.4982356146997669,-0.5908044119582954
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.48114649670442217,-0.49625849621309687,-0.5891972931914463
Diluted NI Availto Com Stockholders,-0.48114649670442217,-0.49625849621309687,-0.5891972931914463
Tangible Book Value,-0.6083753197134206,-0.5909366207732415,-0.5058828437337176
Tax Rate For Calcs,-1.621378358736108,0.4230213609913569,1.0593576975952699
Tax Rate For Calcs,-1.621378358736108,0.4230213609913569,1.0593576975952699
