,2022-12-31CSGP,2021-12-31CSGP,2020-12-31CSGP
Basic EPS,-0.2851008645840006,-0.2941356138728679,-0.30166457161359067
Basic EPS,-0.2851008645840006,-0.2941356138728679,-0.30166457161359067
Net Income Common Stockholders,-0.32162256350514645,-0.3313058360404079,-0.3395467368404881
Net Income Common Stockholders,-0.32162256350514645,-0.3313058360404079,-0.3395467368404881
Total Liabilities Net Minority Interest,-0.25687986243167615,-0.2568264252431827,-0.25684779180150796
Net Income Including Noncontrolling Interests,-0.3259820974635306,-0.33558787502017196,-0.3437628241051697
Net Income Including Noncontrolling Interests,-0.3259820974635306,-0.33558787502017196,-0.3437628241051697
Net Income From Continuing Operation Net Minority Interest,-0.31900322314786766,-0.3286667162921622,-0.336890783940201
Net Income From Continuing Operation Net Minority Interest,-0.31900322314786766,-0.3286667162921622,-0.336890783940201
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.31998906781581904,-0.35486544953931604,-0.3649905224312383
Share Issued,-0.26239325247295847,-0.26969125608085287,-0.2701862889629904
Invested Capital,-0.4097843711297417,-0.4290791564022517,-0.4346950192741242
Net Tangible Assets,-0.04288749060869795,-0.08579674794010131,-0.09358451023755661
Normalized Income,-0.3521242563040467,-0.3620395001060138,-0.3704778188957695
Normalized Income,-0.3521242563040467,-0.3620395001060138,-0.3704778188957695
Basic Average Shares,-0.20998431093260736,-0.21278558257011526,-0.22068195063225093
Basic Average Shares,-0.20998431093260736,-0.21278558257011526,-0.22068195063225093
Operating Revenue,-0.4695469743350975,-0.47377234552236597,-0.4788285895685888
Operating Revenue,-0.4695469743350975,-0.47377234552236597,-0.4788285895685888
Common Stock,-0.24406458111292145,-0.24407732306252125,-0.24407764161126125
Stockholders Equity,-0.31005577000358714,-0.3453668285822742,-0.3556180938893995
Total Assets,-0.2734938402946828,-0.2778213605496328,-0.27911119767289577
Net Income Continuous Operations,-0.32094701079866084,-0.3305722910082334,-0.33876383772874724
Net Income Continuous Operations,-0.32094701079866084,-0.3305722910082334,-0.33876383772874724
Pretax Income,-0.3239136242674985,-0.3325445957642042,-0.3464593678841706
Pretax Income,-0.3239136242674985,-0.3325445957642042,-0.3464593678841706
Diluted EPS,-0.2933731597009902,-0.3034111085947742,-0.3113358050898669
Diluted EPS,-0.2933731597009902,-0.3034111085947742,-0.3113358050898669
Common Stock Equity,-0.31142430943923627,-0.3482536682111308,-0.35894571605842673
Net Income From Continuing And Discontinued Operation,-0.3240763299348449,-0.33372066241039827,-0.3419284234668603
Net Income From Continuing And Discontinued Operation,-0.3240763299348449,-0.33372066241039827,-0.3419284234668603
Total Revenue,-0.4693891553107721,-0.47361427439009923,-0.4786702167541217
Total Revenue,-0.4693891553107721,-0.47361427439009923,-0.4786702167541217
Total Capitalization,-0.40345091672065275,-0.42339704747016316,-0.42920248834611224
Diluted Average Shares,-0.21227463894317483,-0.21471551022775232,-0.22211830860586676
Diluted Average Shares,-0.21227463894317483,-0.21471551022775232,-0.22211830860586676
Ordinary Shares Number,-0.20406309948202195,-0.2119770675996065,-0.21251388213915462
Net Income,-0.32407921326345834,-0.3337235523588662,-0.3419313190491224
Net Income,-0.32407921326345834,-0.3337235523588662,-0.3419313190491224
Capital Stock,-0.26663255106748696,-0.26664450979678395,-0.2666448087650164
Diluted NI Availto Com Stockholders,-0.32140598743128096,-0.331088875183135,-0.33932944851521535
Diluted NI Availto Com Stockholders,-0.32140598743128096,-0.331088875183135,-0.33932944851521535
Tangible Book Value,-0.03140655051988445,-0.07625531799792286,-0.08439508927746887
Tax Rate For Calcs,0.6602665019766836,1.1375322935006102,-0.4299401114777178
Tax Rate For Calcs,0.6602665019766836,1.1375322935006102,-0.4299401114777178
