,2022-12-31NOW,2021-12-31NOW,2020-12-31NOW
Basic EPS,-0.2509695894927241,-0.27355646271489237,-0.3011626410975424
Basic EPS,-0.2509695894927241,-0.27355646271489237,-0.3011626410975424
Net Income Common Stockholders,-0.3272209002504543,-0.33918504194627347,-0.3531641969803358
Net Income Common Stockholders,-0.3272209002504543,-0.33918504194627347,-0.3531641969803358
Total Liabilities Net Minority Interest,-0.22887357333251376,-0.23371410931744083,-0.23879584039440033
Net Income Including Noncontrolling Interests,-0.33153563086525745,-0.3434040238458,-0.3572713040651707
Net Income Including Noncontrolling Interests,-0.33153563086525745,-0.3434040238458,-0.3572713040651707
Net Income From Continuing Operation Net Minority Interest,-0.3245901245348453,-0.33652982785662056,-0.350480428579958
Net Income From Continuing Operation Net Minority Interest,-0.3245901245348453,-0.33652982785662056,-0.350480428579958
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1086848521397329
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1086848521397329
Total Equity Gross Minority Interest,-0.37532772290549155,-0.4155795789339533,-0.44150093124547585
Share Issued,-0.3891297550080406,-0.3911658575911038,-0.3935066914709601
Invested Capital,-0.4321007968242969,-0.45284778831343003,-0.4661078943413684
Net Tangible Assets,-0.04963736455082793,-0.09552841415510646,-0.10204528439630885
Normalized Income,-0.35785670610478343,-0.3701074592838712,-0.37961318404886574
Normalized Income,-0.35785670610478343,-0.3701074592838712,-0.37961318404886574
Basic Average Shares,-0.3442610734409758,-0.34632386551572386,-0.34969584296057876
Basic Average Shares,-0.3442610734409758,-0.34632386551572386,-0.34969584296057876
Operating Revenue,-0.3797668632061119,-0.4036900145492657,-0.4281097175882002
Operating Revenue,-0.3797668632061119,-0.4036900145492657,-0.4281097175882002
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.3660841306010022,-0.40683765994903964,-0.43308207937212134
Total Assets,-0.2549971125967972,-0.2644446838303875,-0.27231325275464524
Net Income Continuous Operations,-0.3265118195639735,-0.33840430899561386,-0.352299744015741
Net Income Continuous Operations,-0.3265118195639735,-0.33840430899561386,-0.352299744015741
Pretax Income,-0.3330644064831563,-0.34875917456745675,-0.35911772150309507
Pretax Income,-0.3330644064831563,-0.34875917456745675,-0.35911772150309507
Diluted EPS,-0.2579761820229097,-0.28280689770753337,-0.3113358050898669
Diluted EPS,-0.2579761820229097,-0.28280689770753337,-0.3113358050898669
Common Stock Equity,-0.3698617700224415,-0.41236761419687046,-0.43974048767045554
Net Income From Continuing And Discontinued Operation,-0.3296521536747268,-0.341568183083063,-0.35549112270754013
Net Income From Continuing And Discontinued Operation,-0.3296521536747268,-0.341568183083063,-0.35549112270754013
Total Revenue,-0.37961440093696475,-0.4035361248986726,-0.42795437092926686
Total Revenue,-0.37961440093696475,-0.4035361248986726,-0.42795437092926686
Total Capitalization,-0.42652069119487407,-0.44955037441324625,-0.4616757864139575
Diluted Average Shares,-0.3439349098589478,-0.3446144397265919,-0.3449691543175021
Diluted Average Shares,-0.3439349098589478,-0.3446144397265919,-0.3449691543175021
Ordinary Shares Number,-0.34149638867796883,-0.3437043419474168,-0.3462427463781444
Net Income,-0.32965504083057673,-0.3415710784180567,-0.35549402759921744
Net Income,-0.32965504083057673,-0.3415710784180567,-0.35549402759921744
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.32700410171594024,-0.33896776799364103,-0.35294636753916514
Diluted NI Availto Com Stockholders,-0.32700410171594024,-0.33896776799364103,-0.35294636753916514
Tangible Book Value,-0.038461520607076055,-0.08642685818282435,-0.09323829273819083
Tax Rate For Calcs,-0.023767981730539414,-1.513065790803527,0.20188771448600118
Tax Rate For Calcs,-0.023767981730539414,-1.513065790803527,0.20188771448600118
