,2022-12-31GOOGL,2021-12-31GOOGL,2020-12-31GOOGL
Basic EPS,-0.10139429571036533,-0.045981016159490996,-0.1833344022621797
Basic EPS,-0.10139429571036533,-0.045981016159490996,-0.1833344022621797
Net Income Common Stockholders,7.184622886386627,9.207318462981899,4.703259898673743
Net Income Common Stockholders,7.184622886386627,9.207318462981899,4.703259898673743
Total Liabilities Net Minority Interest,0.1905272648872873,0.1843435217519037,0.14042522232165056
Net Income Including Noncontrolling Interests,7.120191065033899,9.126699061460148,4.65868636086938
Net Income Including Noncontrolling Interests,7.120191065033899,9.126699061460148,4.65868636086938
Net Income From Continuing Operation Net Minority Interest,7.171909707401246,9.19047365530685,4.6956152384650585
Net Income From Continuing Operation Net Minority Interest,7.171909707401246,9.19047365530685,4.6956152384650585
Tax Effect Of Unusual Items,-2.6205670158669907,5.609276296580256,2.861785654268294
Tax Effect Of Unusual Items,-2.6205670158669907,5.609276296580256,2.861785654268294
Total Equity Gross Minority Interest,7.184675321985376,7.048926915977646,6.17311035373084
Share Issued,7.475498688950896,7.720166825245554,7.883117221951177
Invested Capital,3.934966217644129,3.859731337520745,3.3755294984604074
Net Tangible Assets,7.49505590882946,7.568822785591133,6.636057347612125
Normalized Income,8.003410391232144,8.105074491564121,4.148044091942746
Normalized Income,8.003410391232144,8.105074491564121,4.148044091942746
Basic Average Shares,8.499616148362321,8.69901525048211,8.880073305032246
Basic Average Shares,8.499616148362321,8.69901525048211,8.880073305032246
Operating Revenue,4.507560936505589,4.0606821442920005,2.728682220359993
Operating Revenue,4.507560936505589,4.0606821442920005,2.728682220359993
Common Stock,6.9954794417803345,6.3148469673231755,5.968265938208018
Stockholders Equity,7.288141943927331,7.150701656844085,6.263969478636337
Total Assets,1.0745568295186054,1.0519068346699019,0.9021207112975211
Net Income Continuous Operations,7.140344150215519,9.15092596875842,4.673841842093311
Net Income Continuous Operations,7.140344150215519,9.15092596875842,4.673841842093311
Pretax Income,7.088363629859175,9.118848092818745,4.656093103941513
Pretax Income,7.088363629859175,9.118848092818745,4.656093103941513
Diluted EPS,-0.10159550451974814,-0.04612247056016968,-0.18768407128012796
Diluted EPS,-0.10159550451974814,-0.04612247056016968,-0.18768407128012796
Common Stock Equity,7.613479697688249,7.4701297714485335,6.545270001158099
Net Income From Continuing And Discontinued Operation,7.151983700209831,9.166545261549713,4.6805992009208905
Net Income From Continuing And Discontinued Operation,7.151983700209831,9.166545261549713,4.6805992009208905
Total Revenue,4.507421795008941,4.060569665942168,2.728649216154269
Total Revenue,4.507421795008941,4.060569665942168,2.728649216154269
Total Capitalization,4.087967987078453,4.010193358614316,3.50964603172538
Diluted Average Shares,8.459374525469922,8.727431322525959,8.854557713084303
Diluted Average Shares,8.459374525469922,8.727431322525959,8.854557713084303
Ordinary Shares Number,8.186920710871416,8.452239273872703,8.628942974441046
Net Income,7.151985948436973,9.166548892568718,4.680599752793629
Net Income,7.151985948436973,9.166548892568718,4.680599752793629
Capital Stock,6.527912233883724,5.889116777268332,5.563839340389605
Diluted NI Availto Com Stockholders,7.184541187400057,9.207156388306926,4.70327680140491
Diluted NI Availto Com Stockholders,7.184541187400057,9.207156388306926,4.70327680140491
Tangible Book Value,7.847253948612081,7.924355108343507,6.949428417900528
Tax Rate For Calcs,-0.44347918246929047,-0.4028619694945726,-0.3961872074957274
Tax Rate For Calcs,-0.44347918246929047,-0.4028619694945726,-0.3961872074957274
