,2022-12-31WTW,2021-12-31WTW,2020-12-31WTW
Basic EPS,0.11995706186688372,1.3185671341899468,0.053702233748523454
Basic EPS,0.11995706186688372,1.3185671341899468,0.053702233748523454
Net Income Common Stockholders,-0.2410790800405567,0.16356078594540976,-0.24271627837787932
Net Income Common Stockholders,-0.2410790800405567,0.16356078594540976,-0.24271627837787932
Total Liabilities Net Minority Interest,-0.17311176317625354,-0.17316998268122688,-0.1484807540364572
Net Income Including Noncontrolling Interests,-0.24420924461894986,0.15706736857581424,-0.2447089664286569
Net Income Including Noncontrolling Interests,-0.24420924461894986,0.15706736857581424,-0.2447089664286569
Net Income From Continuing Operation Net Minority Interest,-0.2335970171141581,-0.09622758836994383,-0.27268383535702234
Net Income From Continuing Operation Net Minority Interest,-0.2335970171141581,-0.09622758836994383,-0.27268383535702234
Tax Effect Of Unusual Items,0.0961740612811643,0.33772200861119167,0.17746643941492513
Tax Effect Of Unusual Items,0.0961740612811643,0.33772200861119167,0.17746643941492513
Total Equity Gross Minority Interest,-0.222960749562152,-0.1261696372723206,-0.19770173145603429
Share Issued,-0.44889945118306707,-0.43938471333928325,-0.43508814882304203
Invested Capital,-0.29535699325638587,-0.24361429595790635,-0.2667737283178689
Net Tangible Assets,-0.26820841567722814,-0.16748694472419454,-0.2726781015494664
Normalized Income,-0.254456222703791,-0.16083377466915993,-0.31042985619788616
Normalized Income,-0.254456222703791,-0.16083377466915993,-0.31042985619788616
Basic Average Shares,-0.40545723832516906,-0.39445568059317926,-0.39308048587668054
Basic Average Shares,-0.40545723832516906,-0.39445568059317926,-0.39308048587668054
Operating Revenue,-0.35102006681823034,-0.3486791802524066,-0.35547129809112255
Operating Revenue,-0.35102006681823034,-0.3486791802524066,-0.35547129809112255
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.21416521491617146,-0.11528380189819577,-0.18965823092527984
Total Assets,-0.1852263646222216,-0.1731345311481222,-0.15968279137890382
Net Income Continuous Operations,-0.23400077019573967,-0.0972997337815159,-0.27180636817842796
Net Income Continuous Operations,-0.23400077019573967,-0.0972997337815159,-0.27180636817842796
Pretax Income,-0.24318570125372876,-0.09314371836781604,-0.26902975269921026
Pretax Income,-0.24318570125372876,-0.09314371836781604,-0.26902975269921026
Diluted EPS,0.13191888553564862,1.3893040627570157,0.06165324327916046
Diluted EPS,0.13191888553564862,1.3893040627570157,0.06165324327916046
Common Stock Equity,-0.21141066503713582,-0.10827756219357008,-0.1858499330130215
Net Income From Continuing And Discontinued Operation,-0.24385674193470566,0.15915591584407757,-0.2454873564853201
Net Income From Continuing And Discontinued Operation,-0.24385674193470566,0.15915591584407757,-0.2454873564853201
Total Revenue,-0.3508693197346457,-0.3485285728384667,-0.35532028542359206
Total Revenue,-0.3508693197346457,-0.3485285728384667,-0.35532028542359206
Total Capitalization,-0.28946053767194063,-0.24221442878406282,-0.2723129692113603
Diluted Average Shares,-0.4064516576822018,-0.39489964993225274,-0.39422012006460866
Diluted Average Shares,-0.4064516576822018,-0.39489964993225274,-0.39422012006460866
Ordinary Shares Number,-0.40632256836152547,-0.396004769688279,-0.3913455674703058
Net Income,-0.243859570200721,0.15915336420531181,-0.24549018587058666
Net Income,-0.243859570200721,0.15915336420531181,-0.24549018587058666
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.2408657045164945,0.1637580823282705,-0.24250283779660092
Diluted NI Availto Com Stockholders,-0.2408657045164945,0.1637580823282705,-0.24250283779660092
Tangible Book Value,-0.2669120429195248,-0.1616379339800386,-0.2715837598135196
Tax Rate For Calcs,-0.5111745374271536,0.09808365719361423,0.7383598634560747
Tax Rate For Calcs,-0.5111745374271536,0.09808365719361423,0.7383598634560747
