,2022-12-31MOH,2021-12-31MOH,2020-12-31MOH
Basic EPS,0.3568682654416265,0.23851651307802546,0.24042038571844784
Basic EPS,0.3568682654416265,0.23851651307802546,0.24042038571844784
Net Income Common Stockholders,-0.26840769844048035,-0.2851574968146271,-0.2833943601436643
Net Income Common Stockholders,-0.26840769844048035,-0.2851574968146271,-0.2833943601436643
Total Liabilities Net Minority Interest,-0.22436987876921824,-0.22341757400929702,-0.23232931680628902
Net Income Including Noncontrolling Interests,-0.27319310958195897,-0.2898088597547185,-0.2880598334207438
Net Income Including Noncontrolling Interests,-0.27319310958195897,-0.2898088597547185,-0.2880598334207438
Net Income From Continuing Operation Net Minority Interest,-0.2658970566267501,-0.28261264127723545,-0.2808531060508686
Net Income From Continuing Operation Net Minority Interest,-0.2658970566267501,-0.28261264127723545,-0.2808531060508686
Tax Effect Of Unusual Items,-0.012996724917782563,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,-0.012996724917782563,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4375871382135386,-0.4476425756955927,-0.4637192332267808
Share Issued,-0.47923195856312834,-0.47923195856312834,-0.47842348777571775
Invested Capital,-0.4550273038588001,-0.46063414919307266,-0.47028391267639036
Net Tangible Assets,-0.13159297878835732,-0.1382804477269734,-0.14588914963162328
Normalized Income,-0.2776516698177791,-0.31478563703304335,-0.3129802628803357
Normalized Income,-0.2776516698177791,-0.31478563703304335,-0.3129802628803357
Basic Average Shares,-0.44272501514228446,-0.4425874956706346,-0.44189989831238524
Basic Average Shares,-0.44272501514228446,-0.4425874956706346,-0.44189989831238524
Operating Revenue,0.039429171967697116,-0.032003336268198596,-0.18373534730750438
Operating Revenue,0.039429171967697116,-0.032003336268198596,-0.18373534730750438
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.4291195073337931,-0.4393002693399595,-0.4555772960204771
Total Assets,-0.2587179673209421,-0.25911460665701846,-0.2692270209682225
Net Income Continuous Operations,-0.2680508452000152,-0.2847003304043117,-0.28294775301438574
Net Income Continuous Operations,-0.2680508452000152,-0.2847003304043117,-0.28294775301438574
Pretax Income,-0.2635888997633194,-0.28325967576230937,-0.27426134206064373
Pretax Income,-0.2635888997633194,-0.28325967576230937,-0.27426134206064373
Diluted EPS,0.373357972086138,0.251845959161384,0.25078933296203837
Diluted EPS,0.373357972086138,0.251845959161384,0.25078933296203837
Common Stock Equity,-0.435607533487452,-0.44622604654224574,-0.4632029506478142
Net Income From Continuing And Discontinued Operation,-0.27107546174111585,-0.28775790291278663,-0.2860018564736634
Net Income From Continuing And Discontinued Operation,-0.27107546174111585,-0.28775790291278663,-0.2860018564736634
Total Revenue,0.05890325054492799,-0.01562825858113433,-0.16366276683342276
Total Revenue,0.05890325054492799,-0.01562825858113433,-0.16366276683342276
Total Capitalization,-0.450221141885626,-0.4560172608136256,-0.4659927770695299
Diluted Average Shares,-0.4428065056011593,-0.44273855261439493,-0.4418551637864576
Diluted Average Shares,-0.4428065056011593,-0.44273855261439493,-0.4418551637864576
Ordinary Shares Number,-0.43920337877697896,-0.43920337877697896,-0.43832667161440036
Net Income,-0.2710783086900173,-0.2877607613124893,-0.28600471366801855
Net Income,-0.2710783086900173,-0.2877607613124893,-0.28600471366801855
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.2681932369613479,-0.28494236975012904,-0.28317930314078366
Diluted NI Availto Com Stockholders,-0.2681932369613479,-0.28494236975012904,-0.28317930314078366
Tangible Book Value,-0.12412155098398862,-0.13111129534446941,-0.13906391265256746
Tax Rate For Calcs,0.8562716327216805,0.7479590647890996,1.465529827342448
Tax Rate For Calcs,0.8562716327216805,0.7479590647890996,1.465529827342448
