,2022-12-31CVX,2021-12-31CVX,2020-12-31CVX
Basic EPS,0.5897640248879837,0.07729296800278812,-0.480351835326744
Basic EPS,0.5897640248879837,0.07729296800278812,-0.480351835326744
Net Income Common Stockholders,4.098252143866216,1.599635604444624,-1.066227042051155
Net Income Common Stockholders,4.098252143866216,1.599635604444624,-1.066227042051155
Total Liabilities Net Minority Interest,0.1420678440691129,0.15091720882506204,0.18197731472834397
Net Income Including Noncontrolling Interests,4.076385522108236,1.5878958402195358,-1.0668762738491868
Net Income Including Noncontrolling Interests,4.076385522108236,1.5878958402195358,-1.0668762738491868
Net Income From Continuing Operation Net Minority Interest,4.091843293646023,1.5983305157089591,-1.0620867465577633
Net Income From Continuing Operation Net Minority Interest,4.091843293646023,1.5983305157089591,-1.0620867465577633
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,4.297440096225062,3.686226049037455,3.4690406418651865
Share Issued,1.0037998509384687,1.0037998509384687,1.0037998509384687
Invested Capital,2.4911120376910905,2.287618490855816,2.3802728578189134
Net Tangible Assets,5.088249485717336,4.410017304279529,4.157667711065222
Normalized Income,4.1736324171914605,1.6151593322114524,-1.11456638668254
Normalized Income,4.1736324171914605,1.6151593322114524,-1.11456638668254
Basic Average Shares,0.8456165286465299,0.8349608323857396,0.8033574826058825
Basic Average Shares,0.8456165286465299,0.8349608323857396,0.8033574826058825
Operating Revenue,3.671953102452171,2.251265498855885,1.1670980730859037
Operating Revenue,3.671953102452171,2.251265498855885,1.1670980730859037
Common Stock,-0.04996922361457947,-0.04996922361457947,-0.04996922361457947
Stockholders Equity,4.335659999492324,3.719480047532281,3.4945583623720955
Total Assets,0.6682659362643837,0.5996133334657949,0.6005766004248375
Net Income Continuous Operations,4.090358755347251,1.5968166817804714,-1.0633454279285532
Net Income Continuous Operations,4.090358755347251,1.5968166817804714,-1.0633454279285532
Pretax Income,4.8226669092095555,1.8893147542537938,-1.1546331998026729
Pretax Income,4.8226669092095555,1.8893147542537938,-1.1546331998026729
Diluted EPS,0.623250068231393,0.08754058516312979,-0.49888695547372625
Diluted EPS,0.623250068231393,0.08754058516312979,-0.49888695547372625
Common Stock Equity,4.534047327887551,3.8913729524304976,3.656780114612165
Net Income From Continuing And Discontinued Operation,4.078024408524602,1.5894557405099552,-1.0656864754443813
Net Income From Continuing And Discontinued Operation,4.078024408524602,1.5894557405099552,-1.0656864754443813
Total Revenue,3.6718638177282057,2.25126097985098,1.1671582412305137
Total Revenue,3.6718638177282057,2.25126097985098,1.1671582412305137
Total Capitalization,2.561593605763385,2.380606782382556,2.4541676151868708
Diluted Average Shares,0.8359171701444873,0.8223252137318707,0.7881801969424918
Diluted Average Shares,0.8359171701444873,0.8223252137318707,0.7881801969424918
Ordinary Shares Number,0.8132849830431286,0.823124142092185,0.8200086350558382
Net Income,4.078024546790958,1.5894541706267225,-1.065689867813023
Net Income,4.078024546790958,1.5894541706267225,-1.065689867813023
Capital Stock,-0.08446781874411732,-0.08446781874411732,-0.08446781874411732
Diluted NI Availto Com Stockholders,4.0982930877409665,1.5997758356400833,-1.065980877690133
Diluted NI Availto Com Stockholders,4.0982930877409665,1.5997758356400833,-1.065980877690133
Tangible Book Value,5.331659218059452,4.622770756847018,4.359014893121937
Tax Rate For Calcs,1.2353656204857133,1.127053052553133,0.8427325617301079
Tax Rate For Calcs,1.2353656204857133,1.127053052553133,0.8427325617301079
