,2022-12-31IR,2021-12-31IR,2020-12-31IR
Basic EPS,-0.2569927556853023,-0.26351785239392866,-0.3362977772209153
Basic EPS,-0.2569927556853023,-0.26351785239392866,-0.3362977772209153
Net Income Common Stockholders,-0.29199594833129006,-0.29731054601090656,-0.3723446051937384
Net Income Common Stockholders,-0.29199594833129006,-0.29731054601090656,-0.3723446051937384
Total Liabilities Net Minority Interest,-0.24034406337308448,-0.23795456854753544,-0.23468679090410272
Net Income Including Noncontrolling Interests,-0.29611784760227006,-0.30155232228283424,-0.37618577456258273
Net Income Including Noncontrolling Interests,-0.29611784760227006,-0.30155232228283424,-0.37618577456258273
Net Income From Continuing Operation Net Minority Interest,-0.29134747686527107,-0.29996919947446876,-0.37268827675845995
Net Income From Continuing Operation Net Minority Interest,-0.29134747686527107,-0.29996919947446876,-0.37268827675845995
Tax Effect Of Unusual Items,0.10011041068269869,0.08614502039012605,-0.028432067605306026
Tax Effect Of Unusual Items,0.10011041068269869,0.08614502039012605,-0.028432067605306026
Total Equity Gross Minority Interest,-0.24812342814748362,-0.25372316279317836,-0.2501616111341155
Share Issued,-0.2501686735373235,-0.2517496904017557,-0.2540268373062841
Invested Capital,-0.34175239058324763,-0.3335384453561546,-0.3239369306902535
Net Tangible Assets,-0.2005489722829647,-0.21575955214436796,-0.19417199297364154
Normalized Income,-0.3172443503005566,-0.3264095385152517,-0.38679891705743324
Normalized Income,-0.3172443503005566,-0.3264095385152517,-0.38679891705743324
Basic Average Shares,-0.20378493315063112,-0.19725275824726216,-0.21925587371124175
Basic Average Shares,-0.20378493315063112,-0.19725275824726216,-0.21925587371124175
Operating Revenue,-0.4033300145698246,-0.416877008870073,-0.4377889288580989
Operating Revenue,-0.4033300145698246,-0.416877008870073,-0.4377889288580989
Common Stock,-0.2440397343112018,-0.2440397343112018,-0.24405035260253496
Stockholders Equity,-0.23916599634568556,-0.2450885174768177,-0.24148562505427615
Total Assets,-0.24945587219593604,-0.24798792890070487,-0.24457267534121305
Net Income Continuous Operations,-0.2929249257270356,-0.3016752942667373,-0.37430710866923966
Net Income Continuous Operations,-0.2929249257270356,-0.3016752942667373,-0.37430710866923966
Pretax Income,-0.29715477710627675,-0.3211363827390879,-0.37956277272757716
Pretax Income,-0.29715477710627675,-0.3211363827390879,-0.37956277272757716
Diluted EPS,-0.2648442523186567,-0.27171232261440365,-0.3472610958676202
Diluted EPS,-0.2648442523186567,-0.27171232261440365,-0.3472610958676202
Common Stock Equity,-0.2374864267363629,-0.24366360364219053,-0.2399057945311827
Net Income From Continuing And Discontinued Operation,-0.29456885445881464,-0.2998620801538861,-0.37459439932743077
Net Income From Continuing And Discontinued Operation,-0.29456885445881464,-0.2998620801538861,-0.37459439932743077
Total Revenue,-0.4031761463987299,-0.4167223324138141,-0.4376330046863463
Total Revenue,-0.4031761463987299,-0.4167223324138141,-0.4376330046863463
Total Capitalization,-0.3337501099315599,-0.32529843977957473,-0.3154003197704835
Diluted Average Shares,-0.2038158511507415,-0.19634102260665678,-0.2224349695241889
Diluted Average Shares,-0.2038158511507415,-0.19634102260665678,-0.2224349695241889
Ordinary Shares Number,-0.2051106229193771,-0.2033116892839487,-0.19599954556518787
Net Income,-0.2945717175335436,-0.2998649468618768,-0.3745973173315669
Net Income,-0.2945717175335436,-0.2998649468618768,-0.3745973173315669
Capital Stock,-0.26660923154535776,-0.26660923154535776,-0.2666191971531053
Diluted NI Availto Com Stockholders,-0.2917805495278043,-0.29709493602168824,-0.3721260135822581
Diluted NI Availto Com Stockholders,-0.2917805495278043,-0.29709493602168824,-0.3721260135822581
Tangible Book Value,-0.19619437421119107,-0.2120924764351826,-0.1895291536960183
Tax Rate For Calcs,0.1387008701683321,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.1387008701683321,1.0593576975952699,1.0593576975952699
