,2022-12-31META,2021-12-31META,2020-12-31META
Basic EPS,0.10138563277310096,0.37042038937492744,0.18119258482476217
Basic EPS,0.10138563277310096,0.37042038937492744,0.18119258482476217
Net Income Common Stockholders,2.5536184817691483,4.590041336731201,3.3024478135937847
Net Income Common Stockholders,2.5536184817691483,4.590041336731201,3.3024478135937847
Total Liabilities Net Minority Interest,-0.01368180734280552,-0.09230309027324447,-0.13422945092619515
Net Income Including Noncontrolling Interests,2.5262484683969557,4.5463738841377195,3.269084938526491
Net Income Including Noncontrolling Interests,2.5262484683969557,4.5463738841377195,3.269084938526491
Net Income From Continuing Operation Net Minority Interest,2.5503647542610386,4.582627940714785,3.297664501116572
Net Income From Continuing Operation Net Minority Interest,2.5503647542610386,4.582627940714785,3.297664501116572
Tax Effect Of Unusual Items,0.09160468308745967,0.07030244977507513,0.09176476579000495
Tax Effect Of Unusual Items,0.09160468308745967,0.07030244977507513,0.09176476579000495
Total Equity Gross Minority Interest,3.2579065608422977,3.2327980732374084,3.335489981175391
Share Issued,1.1103459896071355,1.1893273665310884,1.2564926319467333
Invested Capital,1.7161029297947004,1.5371330922256508,1.5938836840215072
Net Tangible Assets,3.3805565246064497,3.398912944448161,3.5206862946620423
Normalized Income,2.600404234239158,4.692241617192332,3.3733696326431906
Normalized Income,2.600404234239158,4.692241617192332,3.3733696326431906
Basic Average Shares,1.3651059591669386,1.453118421022857,1.477871925919834
Basic Average Shares,1.3651059591669386,1.453118421022857,1.477871925919834
Operating Revenue,1.5453640613360666,1.570315784049052,1.0046015306416356
Operating Revenue,1.5453640613360666,1.570315784049052,1.0046015306416356
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,3.3124324552258546,3.2870110315338104,3.3909828255548695
Total Assets,0.3963526725553476,0.32178447737299126,0.29658465822093966
Net Income Continuous Operations,2.5370744514757413,4.561301336840208,3.2814191057971467
Net Income Continuous Operations,2.5370744514757413,4.561301336840208,3.2814191057971467
Pretax Income,2.640570986555644,4.572596937733034,3.0968702106598736
Pretax Income,2.640570986555644,4.572596937733034,3.0968702106598736
Diluted EPS,0.1113146746484077,0.38498086027894046,0.1905616395993342
Diluted EPS,0.1113146746484077,0.38498086027894046,0.1905616395993342
Common Stock Equity,3.4668231819702706,3.44030869128854,3.5487510506595026
Net Income From Continuing And Discontinued Operation,2.5396022959641362,4.567835933151477,3.2854203050374773
Net Income From Continuing And Discontinued Operation,2.5396022959641362,4.567835933151477,3.2854203050374773
Total Revenue,1.5597298684093783,1.583137337371168,1.016321929875223
Total Revenue,1.5597298684093783,1.583137337371168,1.016321929875223
Total Capitalization,1.7942012190290089,1.609189790813901,1.6678561458981933
Diluted Average Shares,1.3535306995159277,1.460216888736046,1.479923254897724
Diluted Average Shares,1.3535306995159277,1.460216888736046,1.479923254897724
Ordinary Shares Number,1.2845377808775669,1.370185326760246,1.443019460266776
Net Income,2.539601378259993,4.5678364076236875,3.2854198992616337
Net Income,2.539601378259993,4.5678364076236875,3.2854198992616337
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,2.553720804625174,4.590062738419089,3.302520380280005
Diluted NI Availto Com Stockholders,2.553720804625174,4.590062738419089,3.302520380280005
Tangible Book Value,3.5467780688652506,3.56596420389555,3.6932417427861415
Tax Rate For Calcs,0.043927373227323714,-0.33516661453670943,-0.9444248091574773
Tax Rate For Calcs,0.043927373227323714,-0.33516661453670943,-0.9444248091574773
