,2022-12-31WEC,2021-12-31WEC,2020-12-31WEC
Basic EPS,-0.10791939241899172,-0.12498502996462996,-0.14104680647817186
Basic EPS,-0.10791939241899172,-0.12498502996462996,-0.14104680647817186
Net Income Common Stockholders,-0.1908170910847524,-0.20439324345116608,-0.21703745214864228
Net Income Common Stockholders,-0.1908170910847524,-0.20439324345116608,-0.21703745214864228
Total Liabilities Net Minority Interest,-0.13743360296776413,-0.14733216637405439,-0.1536098924246093
Net Income Including Noncontrolling Interests,-0.1960235691179472,-0.2099158354278033,-0.22204658235844202
Net Income Including Noncontrolling Interests,-0.1960235691179472,-0.2099158354278033,-0.22204658235844202
Net Income From Continuing Operation Net Minority Interest,-0.18831412125273048,-0.20186254249575544,-0.21448092369055793
Net Income From Continuing Operation Net Minority Interest,-0.18831412125273048,-0.20186254249575544,-0.21448092369055793
Tax Effect Of Unusual Items,0.14474034476493536,0.1360773429356168,0.1338210193702681
Tax Effect Of Unusual Items,0.14474034476493536,0.1360773429356168,0.1338210193702681
Total Equity Gross Minority Interest,-0.1770910952278481,-0.19224349548149416,-0.20581532547224254
Share Issued,-0.31913326780602574,-0.31913326780602574,-0.31913326780602574
Invested Capital,-0.06657108358087083,-0.1017527902391875,-0.12964559796294986
Net Tangible Assets,0.09975591477432715,0.08393459157618294,0.06880248711558998
Normalized Income,-0.21979396744993948,-0.23196536153948605,-0.24435840399286649
Normalized Income,-0.21979396744993948,-0.23196536153948605,-0.24435840399286649
Basic Average Shares,-0.26559993565724876,-0.26559993565724876,-0.26559993565724876
Basic Average Shares,-0.26559993565724876,-0.26559993565724876,-0.26559993565724876
Operating Revenue,-0.3385690330465267,-0.36219780017003894,-0.3811093261836336
Operating Revenue,-0.3385690330465267,-0.36219780017003894,-0.3811093261836336
Common Stock,-0.24415653551586683,-0.24415653551586683,-0.24415653551586683
Stockholders Equity,-0.1717565497090477,-0.18589073935653083,-0.1994092062719045
Total Assets,-0.14706172770495393,-0.1579545771288568,-0.16536002240927683
Net Income Continuous Operations,-0.19072462707449686,-0.20464509891448007,-0.21680047495460933
Net Income Continuous Operations,-0.19072462707449686,-0.20464509891448007,-0.21680047495460933
Pretax Income,-0.193527455035002,-0.21799036688906503,-0.2252622761014576
Pretax Income,-0.193527455035002,-0.21799036688906503,-0.2252622761014576
Diluted EPS,-0.10740694861614938,-0.12536959400502604,-0.14227561319455703
Diluted EPS,-0.10740694861614938,-0.12536959400502604,-0.14227561319455703
Common Stock Equity,-0.16814499313213935,-0.1828869227833605,-0.1969866549384534
Net Income From Continuing And Discontinued Operation,-0.19364635696463192,-0.20716791454588088,-0.21976127615216468
Net Income From Continuing And Discontinued Operation,-0.19364635696463192,-0.20716791454588088,-0.21976127615216468
Total Revenue,-0.33789945397809035,-0.36062243180205805,-0.3796729196093692
Total Revenue,-0.33789945397809035,-0.36062243180205805,-0.3796729196093692
Total Capitalization,-0.09036299253685745,-0.11869001887043398,-0.15726946803184597
Diluted Average Shares,-0.26775961169604806,-0.26762370572251926,-0.26748779974899045
Diluted Average Shares,-0.26775961169604806,-0.26762370572251926,-0.26748779974899045
Ordinary Shares Number,-0.2655920732210071,-0.2655920732210071,-0.2655920732210071
Net Income,-0.19364915076631858,-0.2071707176287432,-0.21976408787909046
Net Income,-0.19364915076631858,-0.2071707176287432,-0.21976408787909046
Capital Stock,-0.26368930847533734,-0.26368930847533734,-0.26368930847533734
Diluted NI Availto Com Stockholders,-0.19060571281722724,-0.20418132570918668,-0.21682503196477784
Diluted NI Availto Com Stockholders,-0.19060571281722724,-0.20418132570918668,-0.21682503196477784
Tangible Book Value,0.11660025211642666,0.10006380079012593,0.084247721076487
Tax Rate For Calcs,-0.07792426569682992,-0.7819559572586058,-0.44347918246929047
Tax Rate For Calcs,-0.07792426569682992,-0.7819559572586058,-0.44347918246929047
