,2022-12-31FAST,2021-12-31FAST,2020-12-31FAST
Basic EPS,-0.23691553504337495,-0.2509695894927241,-0.2564908251692541
Basic EPS,-0.23691553504337495,-0.2509695894927241,-0.2564908251692541
Net Income Common Stockholders,-0.23126848384998502,-0.2516579000663336,-0.25995723625322287
Net Income Common Stockholders,-0.23126848384998502,-0.2516579000663336,-0.25995723625322287
Total Liabilities Net Minority Interest,-0.25749095514855674,-0.2580257428870977,-0.2581309538496566
Net Income Including Noncontrolling Interests,-0.23635111916130644,-0.2565773594091994,-0.2648102762241231
Net Income Including Noncontrolling Interests,-0.23635111916130644,-0.2565773594091994,-0.2648102762241231
Net Income From Continuing Operation Net Minority Interest,-0.22883370389420776,-0.24918147197626475,-0.25746385564894886
Net Income From Continuing Operation Net Minority Interest,-0.22883370389420776,-0.24918147197626475,-0.25746385564894886
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.43159000304460104,-0.4352328411743272,-0.44453562615023945
Share Issued,-0.16031406789228392,-0.15742035939875504,-0.15823200623255887
Invested Capital,-0.4786825344115262,-0.48344086606019665,-0.48833229789484395
Net Tangible Assets,-0.07736988880239491,-0.08149837727980584,-0.09204137677997096
Normalized Income,-0.25960566560849974,-0.2804835281315977,-0.28898168217898595
Normalized Income,-0.25960566560849974,-0.2804835281315977,-0.28898168217898595
Basic Average Shares,-0.08792477828561358,-0.08723165952057747,-0.08793938216590544
Basic Average Shares,-0.08792477828561358,-0.08723165952057747,-0.08793938216590544
Operating Revenue,-0.38445572993341354,-0.4016523791976509,-0.4081004576471473
Operating Revenue,-0.38445572993341354,-0.4016523791976509,-0.4081004576471473
Common Stock,-0.2438910782325372,-0.24388045994120403,-0.2438910782325372
Stockholders Equity,-0.42304762771813936,-0.42673586784612183,-0.43615459676799434
Total Assets,-0.28805190161015537,-0.2889947699747712,-0.29025759407048857
Net Income Continuous Operations,-0.23113405432221795,-0.2514013599957187,-0.2596509921382987
Net Income Continuous Operations,-0.23113405432221795,-0.2514013599957187,-0.2596509921382987
Pretax Income,-0.22414271597811083,-0.24843821697260798,-0.2562960641934811
Pretax Income,-0.22414271597811083,-0.24843821697260798,-0.2562960641934811
Diluted EPS,-0.24265510213239727,-0.2579761820229097,-0.263787626119311
Diluted EPS,-0.24265510213239727,-0.2579761820229097,-0.263787626119311
Common Stock Equity,-0.42927457600088037,-0.4331214025865991,-0.442945116760046
Net Income From Continuing And Discontinued Operation,-0.23408559781986993,-0.2543930205694451,-0.2626589820221752
Net Income From Continuing And Discontinued Operation,-0.23408559781986993,-0.2543930205694451,-0.2626589820221752
Total Revenue,-0.38430298790173534,-0.401498611123135,-0.40794630484624617
Total Revenue,-0.38430298790173534,-0.401498611123135,-0.40794630484624617
Total Capitalization,-0.4781457077357747,-0.480625827466984,-0.48533839893960085
Diluted Average Shares,-0.09142161104241306,-0.09039072617952443,-0.0913727161503166
Diluted Average Shares,-0.09142161104241306,-0.09039072617952443,-0.0913727161503166
Ordinary Shares Number,-0.0933682498156531,-0.09023030716862576,-0.09111045844157305
Net Income,-0.23408841937898742,-0.2543958560675454,-0.2626618231940183
Net Income,-0.23408841937898742,-0.2543958560675454,-0.2626618231940183
Capital Stock,-0.2664697130368926,-0.26645974742914513,-0.2664697130368926
Diluted NI Availto Com Stockholders,-0.23105549816877982,-0.2514441041725668,-0.25974311056941396
Diluted NI Availto Com Stockholders,-0.23105549816877982,-0.2514441041725668,-0.25974311056941396
Tangible Book Value,-0.06744756252645763,-0.07176265981022383,-0.08278220576628793
Tax Rate For Calcs,0.7208809228059543,0.5719511418986558,0.6802637098312364
Tax Rate For Calcs,0.7208809228059543,0.5719511418986558,0.6802637098312364
