,2022-12-31EMN,2021-12-31EMN,2020-12-31EMN
Basic EPS,-0.009541011273547693,-0.013054524885884995,-0.15459893041147282
Basic EPS,-0.009541011273547693,-0.013054524885884995,-0.15459893041147282
Net Income Common Stockholders,-0.2682817601068402,-0.2602217067538673,-0.30795233520350357
Net Income Common Stockholders,-0.2682817601068402,-0.2602217067538673,-0.30795233520350357
Total Liabilities Net Minority Interest,-0.2240330373475867,-0.22278547652672923,-0.22177079372576514
Net Income Including Noncontrolling Interests,-0.2726933877722519,-0.2638233256499517,-0.3110470366672683
Net Income Including Noncontrolling Interests,-0.2726933877722519,-0.2638233256499517,-0.3110470366672683
Net Income From Continuing Operation Net Minority Interest,-0.2657713755391525,-0.2577277859329039,-0.3053609181324073
Net Income From Continuing Operation Net Minority Interest,-0.2657713755391525,-0.2577277859329039,-0.3053609181324073
Tax Effect Of Unusual Items,0.08687241372274405,-0.19768161122264846,0.08621215868344674
Tax Effect Of Unusual Items,0.08687241372274405,-0.19768161122264846,0.08621215868344674
Total Equity Gross Minority Interest,-0.36918607845537477,-0.3525675111197645,-0.34293355904114986
Share Issued,-0.37699190011187056,-0.3773272587696933,-0.37805351616273203
Invested Capital,-0.3691111338107781,-0.35981075831564946,-0.34686676522940607
Net Tangible Assets,-0.17577804141849912,-0.16137951135678497,-0.19328146777314217
Normalized Income,-0.2878958785814289,-0.22797293134712898,-0.3108802380404409
Normalized Income,-0.2878958785814289,-0.22797293134712898,-0.3108802380404409
Basic Average Shares,-0.39754986870530135,-0.3897112588212586,-0.38929870040630904
Basic Average Shares,-0.39754986870530135,-0.3897112588212586,-0.38929870040630904
Operating Revenue,-0.3206240094407911,-0.3224683443108341,-0.35798952454829663
Operating Revenue,-0.3206240094407911,-0.3224683443108341,-0.35798952454829663
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.36239589047301973,-0.3456006812951823,-0.3358771391395922
Total Assets,-0.2498294686753451,-0.24661102377689692,-0.24448050391454387
Net Income Continuous Operations,-0.2675501088028935,-0.25866203775398333,-0.30598162728198386
Net Income Continuous Operations,-0.2675501088028935,-0.25866203775398333,-0.30598162728198386
Pretax Income,-0.27258723346498503,-0.2616008958059747,-0.3193576423562005
Pretax Income,-0.27258723346498503,-0.2616008958059747,-0.3193576423562005
Diluted EPS,-0.007027459678309195,-0.012310590675037609,-0.1575966930850695
Diluted EPS,-0.007027459678309195,-0.012310590675037609,-0.1575966930850695
Common Stock Equity,-0.3660149434367228,-0.3484975760918385,-0.33835594236585287
Net Income From Continuing And Discontinued Operation,-0.2709500298526071,-0.2629223889880437,-0.3104610747328799
Net Income From Continuing And Discontinued Operation,-0.2709500298526071,-0.2629223889880437,-0.3104610747328799
Total Revenue,-0.32047507594638236,-0.3223193007736749,-0.35783836163008764
Total Revenue,-0.32047507594638236,-0.3223193007736749,-0.35783836163008764
Total Capitalization,-0.3807709097453819,-0.36463809207635045,-0.34441187290920655
Diluted Average Shares,-0.3976857223895934,-0.3893954580043358,-0.3898031759249222
Diluted Average Shares,-0.3976857223895934,-0.3893954580043358,-0.3898031759249222
Ordinary Shares Number,-0.3982025720375646,-0.3913433426572832,-0.38669411332047937
Net Income,-0.2709528767154123,-0.26292523034068893,-0.31046394871600375
Net Income,-0.2709528767154123,-0.26292523034068893,-0.31046394871600375
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.26806730363210896,-0.26000757056081575,-0.30773630234238003
Diluted NI Availto Com Stockholders,-0.26806730363210896,-0.26000757056081575,-0.30773630234238003
Tangible Book Value,-0.17030379050859384,-0.15525444295694643,-0.18859837651332165
Tax Rate For Calcs,-0.023767981730539414,0.11162272818518684,-1.548836016363262
Tax Rate For Calcs,-0.023767981730539414,0.11162272818518684,-1.548836016363262
