,2022-12-31AJG,2021-12-31AJG,2020-12-31AJG
Basic EPS,-0.06575722907094428,-0.10741746190294355,-0.11645221119181083
Basic EPS,-0.06575722907094428,-0.10741746190294355,-0.11645221119181083
Net Income Common Stockholders,-0.22783036734160753,-0.25394997773858524,-0.265032551098923
Net Income Common Stockholders,-0.22783036734160753,-0.25394997773858524,-0.265032551098923
Total Liabilities Net Minority Interest,-0.1396704795195616,-0.16018329038970738,-0.1963051663968151
Net Income Including Noncontrolling Interests,-0.23271564299568762,-0.2528294458363965,-0.2649352066765499
Net Income Including Noncontrolling Interests,-0.23271564299568762,-0.2528294458363965,-0.2649352066765499
Net Income From Continuing Operation Net Minority Interest,-0.22540261020279234,-0.25146886777054167,-0.2625288034791335
Net Income From Continuing Operation Net Minority Interest,-0.22540261020279234,-0.25146886777054167,-0.2625288034791335
Tax Effect Of Unusual Items,0.10470618847998096,0.12906993326683228,0.13708305720232475
Tax Effect Of Unusual Items,0.10470618847998096,0.12906993326683228,0.13708305720232475
Total Equity Gross Minority Interest,-0.25014053686394355,-0.26911039062874065,-0.33917932834051473
Share Issued,-0.38352145534583426,-0.3856359174052157,-0.3948400463695818
Invested Capital,-0.2866838523876729,-0.2944419294777954,-0.36201023888891604
Net Tangible Assets,-0.31215122815704255,-0.3255909935392919,-0.2651615229414199
Normalized Income,-0.24849358769858407,-0.26807221271268594,-0.29762190619818474
Normalized Income,-0.24849358769858407,-0.26807221271268594,-0.29762190619818474
Basic Average Shares,-0.3378664180092567,-0.34309215793195186,-0.35113704702346943
Basic Average Shares,-0.3378664180092567,-0.34309215793195186,-0.35113704702346943
Operating Revenue,-0.3678957308791237,-0.37311129708373564,-0.39317021219436665
Operating Revenue,-0.3678957308791237,-0.37311129708373564,-0.39317021219436665
Common Stock,-0.22199616150350973,-0.222357183408838,-0.2239286905261494
Stockholders Equity,-0.2407571214256912,-0.2601188580314305,-0.33090258716532167
Total Assets,-0.15825942279001262,-0.17927299706358973,-0.22087706365226245
Net Income Continuous Operations,-0.2274911970331576,-0.24764583701730597,-0.2597761762375791
Net Income Continuous Operations,-0.2274911970331576,-0.24764583701730597,-0.2597761762375791
Pretax Income,-0.23596610793495054,-0.2727860338607195,-0.2836886660899469
Pretax Income,-0.23596610793495054,-0.2727860338607195,-0.2836886660899469
Diluted EPS,-0.06831177924035897,-0.11163345341353213,-0.12061477610797046
Diluted EPS,-0.06831177924035897,-0.11163345341353213,-0.12061477610797046
Common Stock Equity,-0.2391459668006151,-0.25934021677787555,-0.3331674952684207
Net Income From Continuing And Discontinued Operation,-0.2306613072635796,-0.2566758809403053,-0.26771388712907995
Net Income From Continuing And Discontinued Operation,-0.2306613072635796,-0.2566758809403053,-0.26771388712907995
Total Revenue,-0.35669281428544247,-0.36284791464653127,-0.3837922794880236
Total Revenue,-0.35669281428544247,-0.36284791464653127,-0.3837922794880236
Total Capitalization,-0.2856870406606554,-0.29235687721934456,-0.3588557324811177
Diluted Average Shares,-0.3366639402751563,-0.3416924612957224,-0.35005067866774436
Diluted Average Shares,-0.3366639402751563,-0.3416924612957224,-0.35005067866774436
Ordinary Shares Number,-0.33541473853017356,-0.3377076649553791,-0.347688638806274
Net Income,-0.2306641264722695,-0.25667871800535735,-0.2677167317706019
Net Income,-0.2306641264722695,-0.25667871800535735,-0.2677167317706019
Capital Stock,-0.245920629861527,-0.24625946052494233,-0.24773437047157382
Diluted NI Availto Com Stockholders,-0.22761751828055635,-0.25373609076471576,-0.2648182237377439
Diluted NI Availto Com Stockholders,-0.22761751828055635,-0.25373609076471576,-0.2648182237377439
Tangible Book Value,-0.31284108252086773,-0.32688832896777276,-0.2637274298001833
Tax Rate For Calcs,-0.44347918246929047,-2.3118709793063115,-2.397207743766194
Tax Rate For Calcs,-0.44347918246929047,-2.3118709793063115,-2.397207743766194
