,2020-12-31VLTO,2021-12-31VLTO,2022-12-31VLTO
Basic EPS,-0.18315149878213174,-0.15502697675555868,-0.18471476137436382
Basic EPS,-0.18315149878213174,-0.15502697675555868,-0.18471476137436382
Net Income Common Stockholders,-0.27697150512801405,-0.2597179534193065,-0.27886058013261705
Net Income Common Stockholders,-0.27697150512801405,-0.2597179534193065,-0.27886058013261705
Total Liabilities Net Minority Interest,,-0.25643635040132523,-0.2566609113490796
Net Income Including Noncontrolling Interests,-0.28168838034697885,-0.2645729083645123,-0.2835623371333803
Net Income Including Noncontrolling Interests,-0.28168838034697885,-0.2645729083645123,-0.2835623371333803
Net Income From Continuing Operation Net Minority Interest,-0.27444337058338925,-0.25722506158251335,-0.27632858689735373
Net Income From Continuing Operation Net Minority Interest,-0.27444337058338925,-0.25722506158251335,-0.27632858689735373
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,,-0.4304519924553147,-0.42927785454573353
Share Issued,,-0.36227624606045167,-0.36227624606045167
Invested Capital,,-0.48735401152791447,-0.48672178564452473
Net Tangible Assets,,-0.17977005093797913,-0.1757439216790164
Normalized Income,-0.3064035427526149,-0.2887366671154042,-0.30833787220194453
Normalized Income,-0.3064035427526149,-0.2887366671154042,-0.30833787220194453
Basic Average Shares,-0.31435058835712854,-0.31435058835712854,-0.31627586096022675
Basic Average Shares,-0.31435058835712854,-0.31435058835712854,-0.31627586096022675
Operating Revenue,-0.43114222973029015,-0.42489986555476,-0.4217254814995899
Operating Revenue,-0.43114222973029015,-0.42489986555476,-0.4217254814995899
Common Stock,,0.1891546972087468,0.20030390310859109
Stockholders Equity,,-0.422017358988174,-0.4208590687000473
Total Assets,,-0.2869511330146063,-0.28700779577690294
Net Income Continuous Operations,-0.27656336395108405,-0.2594131423496659,-0.2784411254402904
Net Income Continuous Operations,-0.27656336395108405,-0.2594131423496659,-0.2784411254402904
Pretax Income,-0.27541229172015913,-0.2652630083589781,-0.2771910321030465
Pretax Income,-0.27541229172015913,-0.2652630083589781,-0.2771910321030465
Diluted EPS,-0.1874601721884866,-0.1581213608243546,-0.18982379216511294
Diluted EPS,-0.1874601721884866,-0.1581213608243546,-0.18982379216511294
Common Stock Equity,,-0.42820000791329943,-0.42699191361365224
Net Income From Continuing And Discontinued Operation,-0.27960483015971443,-0.2624206614340085,-0.2814863084873465
Net Income From Continuing And Discontinued Operation,-0.27960483015971443,-0.2624206614340085,-0.2814863084873465
Total Revenue,-0.4309867021356806,-0.42474471041253664,-0.4215705157578697
Total Revenue,-0.4309867021356806,-0.42474471041253664,-0.4215705157578697
Total Capitalization,,-0.48363912134290543,-0.4829855530364841
Diluted Average Shares,-0.31491898451054623,-0.31491898451054623,-0.31559851437819025
Diluted Average Shares,-0.31491898451054623,-0.31491898451054623,-0.31559851437819025
Ordinary Shares Number,,-0.31237639572173,-0.31237639572173
Net Income,-0.27960768296316085,-0.2624235024422687,-0.28148916258223666
Net Income,-0.27960768296316085,-0.2624235024422687,-0.28148916258223666
Capital Stock,,0.13995766772980806,0.15042155586469358
Diluted NI Availto Com Stockholders,-0.2767567033495969,-0.25950383724385995,-0.2786457032881812
Diluted NI Availto Com Stockholders,-0.2767567033495969,-0.25950383724385995,-0.2786457032881812
Tangible Book Value,,-0.1744762399482686,-0.17026812854757098
Tax Rate For Calcs,0.6246858234108309,-0.1909755084764612,0.6543499279533664
Tax Rate For Calcs,0.6246858234108309,-0.1909755084764612,0.6543499279533664
