,2022-12-31ODFL,2021-12-31ODFL,2020-12-31ODFL
Basic EPS,0.28358641009859165,0.1169454787705946,-0.04517807791296874
Basic EPS,0.28358641009859165,0.1169454787705946,-0.04517807791296874
Net Income Common Stockholders,-0.19471374906591388,-0.2378833948244366,-0.2834344085337619
Net Income Common Stockholders,-0.19471374906591388,-0.2378833948244366,-0.2834344085337619
Total Liabilities Net Minority Interest,-0.2583214439113934,-0.2585042365228654,-0.2589143305573616
Net Income Including Noncontrolling Interests,-0.2000889309703665,-0.2429130911750222,-0.2880995613046155
Net Income Including Noncontrolling Interests,-0.2000889309703665,-0.2429130911750222,-0.2880995613046155
Net Income From Continuing Operation Net Minority Interest,-0.19235363708920603,-0.2354351030202735,-0.28089307263672464
Net Income From Continuing Operation Net Minority Interest,-0.19235363708920603,-0.2354351030202735,-0.28089307263672464
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4168465339505919,-0.4160369809149858,-0.42668005936773507
Share Issued,-0.4467545557956451,-0.4437766761646377,-0.4425039416494573
Invested Capital,-0.4781055451053168,-0.47765842830557426,-0.4835403750867376
Net Tangible Assets,-0.06066087234212839,-0.05974339254743764,-0.07180536872963462
Normalized Income,-0.22217523016630156,-0.26637904256356904,-0.3130212706646615
Normalized Income,-0.22217523016630156,-0.26637904256356904,-0.3130212706646615
Basic Average Shares,-0.40522291133385385,-0.40294682037020063,-0.4015124922808924
Basic Average Shares,-0.40522291133385385,-0.40294682037020063,-0.4015124922808924
Operating Revenue,-0.39723347698695183,-0.41503395084724776,-0.4370453604276563
Operating Revenue,-0.39723347698695183,-0.41503395084724776,-0.4370453604276563
Common Stock,-0.2433259727677851,-0.24327511115229913,-0.2432533436550661
Stockholders Equity,-0.4081204054804932,-0.40730076269502674,-0.41807648965208644
Total Assets,-0.28695638376391247,-0.2870208508773361,-0.2887287949685508
Net Income Continuous Operations,-0.19479824284918115,-0.23770934913692227,-0.2829875615579569
Net Income Continuous Operations,-0.19479824284918115,-0.23770934913692227,-0.2829875615579569
Pretax Income,-0.18214885280567136,-0.22953930966800393,-0.2805011633238127
Pretax Income,-0.18214885280567136,-0.22953930966800393,-0.2805011633238127
Diluted EPS,0.3009790774309584,0.12716406763859303,-0.04242443735638969
Diluted EPS,0.3009790774309584,0.12716406763859303,-0.04242443735638969
Common Stock Equity,-0.4137055150498192,-0.4128506293730425,-0.42408968960243665
Net Income From Continuing And Discontinued Operation,-0.19767786329319337,-0.2406739077637948,-0.2860417438142092
Net Income From Continuing And Discontinued Operation,-0.19767786329319337,-0.2406739077637948,-0.2860417438142092
Total Revenue,-0.3970799725674593,-0.4148793843575559,-0.4368894806211199
Total Revenue,-0.3970799725674593,-0.4148793843575559,-0.4368894806211199
Total Capitalization,-0.4744224322890882,-0.4736162385839516,-0.4796967457210742
Diluted Average Shares,-0.4057192468002577,-0.4034549309658915,-0.4020394702515889
Diluted Average Shares,-0.4057192468002577,-0.4034549309658915,-0.4020394702515889
Ordinary Shares Number,-0.40398482534055896,-0.40075560736205534,-0.3993754517857561
Net Income,-0.19768065986209957,-0.24067673384511779,-0.2860446010359429
Net Income,-0.19768065986209957,-0.24067673384511779,-0.2860446010359429
Capital Stock,-0.26593934339257014,-0.26589160813145957,-0.2658711786355772
Diluted NI Availto Com Stockholders,-0.19450221595720976,-0.237670146287056,-0.2832193499394816
Diluted NI Availto Com Stockholders,-0.19450221595720976,-0.237670146287056,-0.2832193499394816
Tangible Book Value,-0.04998329396022511,-0.049024343828320376,-0.06163152462716124
Tax Rate For Calcs,0.8156544197469626,0.8562716327216805,0.8427325617301079
Tax Rate For Calcs,0.8156544197469626,0.8562716327216805,0.8427325617301079
