,2022-12-31CMCSA,2021-12-31CMCSA,2020-12-31CMCSA
Basic EPS,-0.2679109490425888,-0.17500842905502406,-0.21635289739937738
Basic EPS,-0.2679109490425888,-0.17500842905502406,-0.21635289739937738
Net Income Common Stockholders,0.30813799296436073,1.4150100073280891,0.9584835478823598
Net Income Common Stockholders,0.30813799296436073,1.4150100073280891,0.9584835478823598
Total Liabilities Net Minority Interest,0.4654771941960693,0.4765347416049362,0.48882321569038245
Net Income Including Noncontrolling Interests,0.24314445029785425,1.3560249205154629,0.9647427435148398
Net Income Including Noncontrolling Interests,0.24314445029785425,1.3560249205154629,0.9647427435148398
Net Income From Continuing Operation Net Minority Interest,0.3094709623952196,1.4140820412908273,0.9584880987494031
Net Income From Continuing Operation Net Minority Interest,0.3094709623952196,1.4140820412908273,0.9584880987494031
Tax Effect Of Unusual Items,-5.114832455035732,0.39778391521879297,0.8165855412934266
Tax Effect Of Unusual Items,-5.114832455035732,0.39778391521879297,0.8165855412934266
Total Equity Gross Minority Interest,1.9430226326126285,2.4238471596362356,2.2735876133100934
Share Issued,2.6519818812822087,2.8467057601663313,2.8761999231414865
Invested Capital,2.469616357655838,2.7222737856862915,2.774498971158937
Net Tangible Assets,-2.8731140462261124,-2.9103728017412593,-3.2028472085872632
Normalized Income,1.1997130799551952,1.394416879336369,0.8591390466494372
Normalized Income,1.1997130799551952,1.394416879336369,0.8591390466494372
Basic Average Shares,2.419274802987007,2.6345690533568,2.6671789404667385
Basic Average Shares,2.419274802987007,2.6345690533568,2.6671789404667385
Operating Revenue,1.645135484209738,1.5557207109909232,1.32835323629072
Operating Revenue,1.645135484209738,1.5557207109909232,1.32835323629072
Common Stock,-0.23908099225860438,-0.23876244351860884,-0.23876244351860884
Stockholders Equity,1.9477836078723496,2.4095451756310773,2.2336984210994184
Total Assets,0.666626493675268,0.7370016444476744,0.7293106188452793
Net Income Continuous Operations,0.2493350371259801,1.3646001776152836,0.9723983945697132
Net Income Continuous Operations,0.2493350371259801,1.3646001776152836,0.9723983945697132
Pretax Income,0.5965890230435763,1.6229222239696,1.0968335977838473
Pretax Income,0.5965890230435763,1.6229222239696,1.0968335977838473
Diluted EPS,-0.27858039291015063,-0.1818990956700203,-0.22205089124515637
Diluted EPS,-0.27858039291015063,-0.1818990956700203,-0.22205089124515637
Common Stock Equity,2.043497345254352,2.5251136753952825,2.3417058855356863
Net Income From Continuing And Discontinued Operation,0.3031517238521831,1.4055725919560504,0.9508819961116405
Net Income From Continuing And Discontinued Operation,0.3031517238521831,1.4055725919560504,0.9508819961116405
Total Revenue,1.6451671301199107,1.5557576918582867,1.328403783101388
Total Revenue,1.6451671301199107,1.5557576918582867,1.328403783101388
Total Capitalization,2.543173299021879,2.797669357709148,2.8342175853708667
Diluted Average Shares,2.527758310804873,2.6799730011571437,2.6595871051278217
Diluted Average Shares,2.527758310804873,2.6799730011571437,2.6595871051278217
Ordinary Shares Number,2.367688838510483,2.5788477597741517,2.61083128266358
Net Income,0.30314927105191175,1.4055708958557158,0.9508799879124016
Net Income,0.30314927105191175,1.4055708958557158,0.9508799879124016
Capital Stock,-0.2619552927272706,-0.26165632449484527,-0.26165632449484527
Diluted NI Availto Com Stockholders,0.30832954429459175,1.415157574975774,0.9586492564845595
Diluted NI Availto Com Stockholders,0.30832954429459175,1.415157574975774,0.9586492564845595
Tangible Book Value,-2.9895601191708843,-3.0285029806078487,-3.334197310495815
Tax Rate For Calcs,0.24701343810091272,1.127053052553133,0.6396464968565185
Tax Rate For Calcs,0.24701343810091272,1.127053052553133,0.6396464968565185
