,2022-12-31AME,2021-12-31AME,2020-12-31AME
Basic EPS,-0.07880742248819705,-0.11645221119181083,-0.14104680647817186
Basic EPS,-0.07880742248819705,-0.11645221119181083,-0.14104680647817186
Net Income Common Stockholders,-0.22212007141769352,-0.2434652336480376,-0.25827734482079623
Net Income Common Stockholders,-0.22212007141769352,-0.2434652336480376,-0.25827734482079623
Total Liabilities Net Minority Interest,-0.2426482749409197,-0.2423501286974151,-0.24492079430536906
Net Income Including Noncontrolling Interests,-0.22727592123612148,-0.2484502586874812,-0.2631438289192025
Net Income Including Noncontrolling Interests,-0.22727592123612148,-0.2484502586874812,-0.2631438289192025
Net Income From Continuing Operation Net Minority Interest,-0.21970397832894042,-0.24100554018477585,-0.255787395621484
Net Income From Continuing Operation Net Minority Interest,-0.21970397832894042,-0.24100554018477585,-0.255787395621484
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.30173299958174654,-0.3199359907610859,-0.3477100122695265
Share Issued,-0.34826697159301157,-0.34875711198308407,-0.34941254049423903
Invested Capital,-0.37647292173467795,-0.38388317476379663,-0.4014033851692478
Net Tangible Assets,-0.22754229237863824,-0.2445112671340237,-0.2159806139364766
Normalized Income,-0.2502380949512861,-0.27209459922044826,-0.2872615474773454
Normalized Income,-0.2502380949512861,-0.27209459922044826,-0.2872615474773454
Basic Average Shares,-0.32326460050947325,-0.32366409457461615,-0.3247092425591552
Basic Average Shares,-0.32326460050947325,-0.32366409457461615,-0.3247092425591552
Operating Revenue,-0.3991761822947268,-0.4098877954761103,-0.42773678953067973
Operating Revenue,-0.3991761822947268,-0.4098877954761103,-0.42773678953067973
Common Stock,-0.24420962697253276,-0.2442107949845794,-0.2442121753624527
Stockholders Equity,-0.29157216984286477,-0.3100020314304827,-0.33812221053121555
Total Assets,-0.25827554447293005,-0.2602887081995318,-0.2661087445009623
Net Income Continuous Operations,-0.22204043098228934,-0.24325775878522923,-0.2579811614379971
Net Income Continuous Operations,-0.22204043098228934,-0.24325775878522923,-0.2579811614379971
Pretax Income,-0.22532589222809263,-0.24683002640290333,-0.261568564583721
Pretax Income,-0.22532589222809263,-0.24683002640290333,-0.261568564583721
Diluted EPS,-0.07782141503447018,-0.11797321060960626,-0.14333223939390274
Diluted EPS,-0.07782141503447018,-0.11797321060960626,-0.14333223939390274
Common Stock Equity,-0.2921459539008846,-0.31136826022212366,-0.34069754703812166
Net Income From Continuing And Discontinued Operation,-0.2249739745748135,-0.24623329992628196,-0.2609858460613563
Net Income From Continuing And Discontinued Operation,-0.2249739745748135,-0.24623329992628196,-0.2609858460613563
Total Revenue,-0.3990225619631845,-0.40973353603320295,-0.42758146512260214
Total Revenue,-0.3990225619631845,-0.40973353603320295,-0.42758146512260214
Total Capitalization,-0.37290332326934594,-0.38209469515087235,-0.3970621833303886
Diluted Average Shares,-0.3252233754235008,-0.3243556157825193,-0.3254856739524114
Diluted Average Shares,-0.3252233754235008,-0.3243556157825193,-0.3254856739524114
Ordinary Shares Number,-0.3231741140116238,-0.32208724125925164,-0.3228581426807194
Net Income,-0.22497678987972722,-0.2462361298235629,-0.2609886860847615
Net Income,-0.22497678987972722,-0.2462361298235629,-0.2609886860847615
Capital Stock,-0.2667686812693179,-0.26676977748617015,-0.26677107301517733
Diluted NI Availto Com Stockholders,-0.2219074492662036,-0.24325176330558498,-0.25806328589069555
Diluted NI Availto Com Stockholders,-0.2219074492662036,-0.24325176330558498,-0.25806328589069555
Tangible Book Value,-0.22440779974501235,-0.24214377679227805,-0.2123235302806497
Tax Rate For Calcs,-0.05084612371368467,-0.010228910738966788,0.03038830223575109
Tax Rate For Calcs,-0.05084612371368467,-0.010228910738966788,0.03038830223575109
