,2022-12-31BALL,2021-12-31BALL,2020-12-31BALL
Basic EPS,-0.21784217543354398,-0.19676109375952025,-0.24193484020385678
Basic EPS,-0.21784217543354398,-0.19676109375952025,-0.24193484020385678
Net Income Common Stockholders,-0.27760119679621503,-0.25757700174742304,-0.294476933504002
Net Income Common Stockholders,-0.27760119679621503,-0.25757700174742304,-0.294476933504002
Total Liabilities Net Minority Interest,-0.19512705312831868,-0.19659501636086102,-0.20122762554231183
Net Income Including Noncontrolling Interests,-0.2806889367275648,-0.2624490906732573,-0.29942850459157927
Net Income Including Noncontrolling Interests,-0.2806889367275648,-0.2624490906732573,-0.29942850459157927
Net Income From Continuing Operation Net Minority Interest,-0.2750717760213774,-0.2550884830933536,-0.2919130417594604
Net Income From Continuing Operation Net Minority Interest,-0.2750717760213774,-0.2550884830933536,-0.2919130417594604
Tax Effect Of Unusual Items,0.10007221551156507,0.07415005157309316,0.029929427854826624
Tax Effect Of Unusual Items,0.10007221551156507,0.07415005157309316,0.029929427854826624
Total Equity Gross Minority Interest,-0.420637403775226,-0.41588063993641006,-0.42635756282190346
Share Issued,-0.09107617318340058,-0.09182216845786306,-0.09270560438808595
Invested Capital,-0.3342887976545988,-0.351708284494312,-0.3562836033872644
Net Tangible Assets,-0.2600537979408545,-0.2685154933325728,-0.2907956832147987
Normalized Income,-0.29954054186639334,-0.2710710810311597,-0.295410807620049
Normalized Income,-0.29954054186639334,-0.2710710810311597,-0.295410807620049
Basic Average Shares,-0.26488964758617717,-0.25831896723074627,-0.2581326283466607
Basic Average Shares,-0.26488964758617717,-0.25831896723074627,-0.2581326283466607
Operating Revenue,-0.23605061525583912,-0.2633254905455133,-0.2993254884896216
Operating Revenue,-0.23605061525583912,-0.2633254905455133,-0.2993254884896216
Common Stock,-0.1107058500403977,-0.11495316657367169,-0.12058086098025975
Stockholders Equity,-0.4139702896180305,-0.408910389938319,-0.41963981576517706
Total Assets,-0.23002772201141847,-0.23076433792127457,-0.23628706848645215
Net Income Continuous Operations,-0.27556189115684065,-0.2572850126618987,-0.29433950604890435
Net Income Continuous Operations,-0.27556189115684065,-0.2572850126618987,-0.29433950604890435
Pretax Income,-0.2823179896772513,-0.2693436480608962,-0.3029304517612993
Pretax Income,-0.2823179896772513,-0.2693436480608962,-0.3029304517612993
Diluted EPS,-0.2236358305441749,-0.20250330655726118,-0.24952317242814423
Diluted EPS,-0.2236358305441749,-0.20250330655726118,-0.24952317242814423
Common Stock Equity,-0.41980693172627687,-0.41452946715413386,-0.4257202354034973
Net Income From Continuing And Discontinued Operation,-0.2802319896022585,-0.2602883193293588,-0.29703986266243804
Net Income From Continuing And Discontinued Operation,-0.2802319896022585,-0.2602883193293588,-0.29703986266243804
Total Revenue,-0.23590672785640107,-0.26317997578309243,-0.29917782577736
Total Revenue,-0.23590672785640107,-0.26317997578309243,-0.29917782577736
Total Capitalization,-0.34958882186270174,-0.34363791044107606,-0.3484364777434852
Diluted Average Shares,-0.26510400897329506,-0.25721670579955036,-0.2564012699583775
Diluted Average Shares,-0.26510400897329506,-0.25721670579955036,-0.2564012699583775
Ordinary Shares Number,-0.26648664632677876,-0.26194408662483604,-0.25739750148823676
Net Income,-0.28023484283618616,-0.26029115887398285,-0.29704272743326315
Net Income,-0.28023484283618616,-0.26029115887398285,-0.29704272743326315
Capital Stock,-0.14147109505987457,-0.1454573381588786,-0.1507391102650589
Diluted NI Availto Com Stockholders,-0.2773863699957917,-0.2573629706467977,-0.2942614361138117
Diluted NI Availto Com Stockholders,-0.2773863699957917,-0.2573629706467977,-0.2942614361138117
Tangible Book Value,-0.258388834235061,-0.26723300056873056,-0.2905202611166589
Tax Rate For Calcs,-0.15915869164626567,-0.497635466435581,-0.6451436448887644
Tax Rate For Calcs,-0.15915869164626567,-0.497635466435581,-0.6451436448887644
