,2022-12-31T,2021-12-31T,2020-12-31T
Basic EPS,-0.38849855088992646,-0.19274564963113477,-0.36942519128009543
Basic EPS,-0.38849855088992646,-0.19274564963113477,-0.36942519128009543
Net Income Common Stockholders,-1.4672146963615555,2.134747584081839,-1.04431377199776
Net Income Common Stockholders,-1.4672146963615555,2.134747584081839,-1.04431377199776
Total Liabilities Net Minority Interest,0.9693212658436443,1.2661201436617104,1.177767886328583
Net Income Including Noncontrolling Interests,-1.2535223697747715,2.311243159770496,-0.8494972866266185
Net Income Including Noncontrolling Interests,-1.2535223697747715,2.311243159770496,-0.8494972866266185
Net Income From Continuing Operation Net Minority Interest,-1.4139937918311392,2.4470549002557833,-1.0159617874094313
Net Income From Continuing Operation Net Minority Interest,-1.4139937918311392,2.4470549002557833,-1.0159617874094313
Tax Effect Of Unusual Items,-16.08176139019671,0.0252967426121269,-14.180484408282657
Tax Effect Of Unusual Items,-16.08176139019671,0.0252967426121269,-14.180484408282657
Total Equity Gross Minority Interest,2.678183494511662,5.008335441326085,4.869395788692314
Share Issued,4.224299846314503,4.224045975293046,4.224045975293046
Invested Capital,3.3446502553137907,5.169586905241644,4.765461465569596
Net Tangible Assets,-3.5918463584299247,-1.7421470415918963,-4.276322452193071
Normalized Income,1.325708852519697,2.5083804450167495,0.7100736873404503
Normalized Income,1.325708852519697,2.5083804450167495,0.7100736873404503
Basic Average Shares,4.444854526765832,4.4462297214823305,4.438666150541588
Basic Average Shares,4.444854526765832,4.4462297214823305,4.438666150541588
Operating Revenue,1.6329699676631084,1.8687788211915854,2.5377403593431387
Operating Revenue,1.6329699676631084,1.8687788211915854,2.5377403593431387
Common Stock,0.5647236616635004,0.5647236616635004,0.5647236616635004
Stockholders Equity,2.4524628789385097,4.550553329263202,4.408540843674192
Total Assets,1.2165499343164572,1.7785274332568812,1.6808370535400161
Net Income Continuous Operations,-1.2277121502837511,2.609180492661266,-0.8455250951806144
Net Income Continuous Operations,-1.2277121502837511,2.609180492661266,-0.8455250951806144
Pretax Income,-0.6985432392729004,2.677401375660136,-0.6736408739124771
Pretax Income,-0.6985432392729004,2.677401375660136,-0.6736408739124771
Diluted EPS,-0.40220565823359594,-0.19827680175987844,-0.38212976044602787
Diluted EPS,-0.40220565823359594,-0.19827680175987844,-0.38212976044602787
Common Stock Equity,2.5698767483927365,4.75818061242736,4.610061892899563
Net Income From Continuing And Discontinued Operation,-1.4395989350891223,2.14838023570518,-1.0196529723616508
Net Income From Continuing And Discontinued Operation,-1.4395989350891223,2.14838023570518,-1.0196529723616508
Total Revenue,1.6330023394321929,1.868797123360161,2.5377187477363976
Total Revenue,1.6330023394321929,1.868797123360161,2.5377187477363976
Total Capitalization,3.3470623159200983,4.919410067842118,4.886817648350845
Diluted Average Shares,4.673034102957188,4.615953594075086,4.398504036428985
Diluted Average Shares,4.673034102957188,4.615953594075086,4.398504036428985
Ordinary Shares Number,4.328734805400501,4.337544965834548,4.327333432836477
Net Income,-1.4396025841106839,2.1483790494668353,-1.0196563331329689
Net Income,-1.4396025841106839,2.1483790494668353,-1.0196563331329689
Capital Stock,0.49244121375923705,0.49244121375923705,0.49244121375923705
Diluted NI Availto Com Stockholders,-1.4669525979869682,2.1348665515764065,-1.0411720118300587
Diluted NI Availto Com Stockholders,-1.4669525979869682,2.1348665515764065,-1.0411720118300587
Tangible Book Value,-3.7407793281174553,-1.807473097146105,-4.456193928197074
Tax Rate For Calcs,0.24701343810091272,-0.09146333668840255,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-0.09146333668840255,1.0593576975952699
