,2022-12-31CPT,2021-12-31CPT,2020-12-31CPT
Basic EPS,-0.02710857933523411,-0.18270703931017107,-0.26954101858650686
Basic EPS,-0.02710857933523411,-0.18270703931017107,-0.26954101858650686
Net Income Common Stockholders,-0.2859606055682507,-0.329945953913761,-0.3525785837289088
Net Income Common Stockholders,-0.2859606055682507,-0.329945953913761,-0.3525785837289088
Total Liabilities Net Minority Interest,-0.24549102524683056,-0.24782182233575825,-0.24793894334562033
Net Income Including Noncontrolling Interests,-0.28949553418003215,-0.33311275289669295,-0.35607459526137475
Net Income Including Noncontrolling Interests,-0.28949553418003215,-0.33311275289669295,-0.35607459526137475
Net Income From Continuing Operation Net Minority Interest,-0.2832896852961239,-0.3272411157155422,-0.349863208758766
Net Income From Continuing Operation Net Minority Interest,-0.2832896852961239,-0.3272411157155422,-0.349863208758766
Tax Effect Of Unusual Items,0.14236435101225947,0.13891446452137687,0.13597318153832247
Tax Effect Of Unusual Items,0.14236435101225947,0.13891446452137687,0.13597318153832247
Total Equity Gross Minority Interest,-0.3745774487812692,-0.3983813186381127,-0.4209508985970842
Share Issued,-0.4434167026808413,-0.4453159871306504,-0.44885708917950856
Invested Capital,-0.3963378915663893,-0.4179612812300867,-0.43054468927499573
Net Tangible Assets,-0.015155273434786308,-0.04208018345279696,-0.06775818759141106
Normalized Income,-0.3810204573582187,-0.38292904566942976,-0.38381436127161095
Normalized Income,-0.3810204573582187,-0.38292904566942976,-0.38381436127161095
Basic Average Shares,-0.40847922871467496,-0.4123338995050209,-0.41413127899948476
Basic Average Shares,-0.40847922871467496,-0.4123338995050209,-0.41413127899948476
Operating Revenue,-0.48301847504359813,-0.48796929052441324,-0.4897382204726541
Operating Revenue,-0.48301847504359813,-0.48796929052441324,-0.4897382204726541
Common Stock,-0.24437357339071714,-0.24437675887811708,-0.244382811304177
Stockholders Equity,-0.36746737305561245,-0.39152109976796606,-0.4144608865176989
Total Assets,-0.2699978800740932,-0.27510187660341623,-0.27804015058493003
Net Income Continuous Operations,-0.28438636868331635,-0.3280921436332896,-0.35110060552873384
Net Income Continuous Operations,-0.28438636868331635,-0.3280921436332896,-0.35110060552873384
Pretax Income,-0.30528738740041234,-0.34192996244682866,-0.3611527051329055
Pretax Income,-0.30528738740041234,-0.34192996244682866,-0.3611527051329055
Diluted EPS,-0.023405165768167313,-0.18612560046740304,-0.27699545361113204
Diluted EPS,-0.023405165768167313,-0.18612560046740304,-0.27699545361113204
Common Stock Equity,-0.3713044889518623,-0.3963924746013515,-0.42031862324608793
Net Income From Continuing And Discontinued Operation,-0.28843360449618355,-0.3322978884990429,-0.35487512670307336
Net Income From Continuing And Discontinued Operation,-0.28843360449618355,-0.3322978884990429,-0.35487512670307336
Total Revenue,-0.4828598522384545,-0.4878103723274938,-0.4895791967320397
Total Revenue,-0.4828598522384545,-0.4878103723274938,-0.4895791967320397
Total Capitalization,-0.3895505163946969,-0.4119038596109188,-0.4249120532027797
Diluted Average Shares,-0.4089061195641322,-0.41268362609836556,-0.4149879118795466
Diluted Average Shares,-0.4089061195641322,-0.41268362609836556,-0.4149879118795466
Ordinary Shares Number,-0.40649545771154644,-0.40865350611173995,-0.4126324078495967
Net Income,-0.2884364633596867,-0.33230077747092107,-0.35487803117193206
Net Income,-0.2884364633596867,-0.33230077747092107,-0.35487803117193206
Capital Stock,-0.2669225502529395,-0.26692553993526374,-0.2669312203316798
Diluted NI Availto Com Stockholders,-0.28556259139663087,-0.32957918643221845,-0.352360777558204
Diluted NI Availto Com Stockholders,-0.28556259139663087,-0.32957918643221845,-0.352360777558204
Tangible Book Value,-0.002420829558152086,-0.03056275286012253,-0.057401409796512516
Tax Rate For Calcs,-2.5357530572229563,-2.514632106476103,-2.391683802801632
Tax Rate For Calcs,-2.5357530572229563,-2.514632106476103,-2.391683802801632
