,2022-12-31GS,2021-12-31GS,2020-12-31GS
Basic EPS,1.1950922272420936,2.6923510068068772,0.9200343044476886
Basic EPS,1.1950922272420936,2.6923510068068772,0.9200343044476886
Net Income Common Stockholders,0.9874493646196061,2.295570836140376,0.754589385718874
Net Income Common Stockholders,0.9874493646196061,2.295570836140376,0.754589385718874
Total Liabilities Net Minority Interest,5.245186272034184,5.367663476353833,4.174305014626533
Net Income Including Noncontrolling Interests,1.0347037968738273,2.330732310349071,0.8095791216007996
Net Income Including Noncontrolling Interests,1.0347037968738273,2.330732310349071,0.8095791216007996
Net Income From Continuing Operation Net Minority Interest,1.0498582494328832,2.3536738521707408,0.8233809295819462
Net Income From Continuing Operation Net Minority Interest,1.0498582494328832,2.3536738521707408,0.8233809295819462
Tax Effect Of Unusual Items,-0.27645915168571855,-0.244302187753378,-2.304043042992162
Tax Effect Of Unusual Items,-0.27645915168571855,-0.244302187753378,-2.304043042992162
Total Equity Gross Minority Interest,3.0012821623482004,2.782621556263894,2.361316789425978
Share Issued,0.05548753062799447,0.04840736885186725,0.045460632759392106
Invested Capital,6.589150301253918,6.427483487861851,5.7290568994718605
Net Tangible Assets,3.527134925424279,3.4048838988576398,2.918575252010218
Normalized Income,1.1482315464377697,2.4600228535599915,1.1709336634545235
Normalized Income,1.1482315464377697,2.4600228535599915,1.1709336634545235
Basic Average Shares,-0.24036511260949717,-0.2441469008302581,-0.23740844671941436
Basic Average Shares,-0.24036511260949717,-0.2441469008302581,-0.23740844671941436
Operating Revenue,0.3317207808912406,0.5440675667940745,0.28195920737834995
Operating Revenue,0.3317207808912406,0.5440675667940745,0.28195920737834995
Common Stock,-0.2435406746185421,-0.2435406746185421,-0.2435406746185421
Stockholders Equity,3.052609654805009,2.8312238031559467,2.4046681638915963
Total Assets,5.1411866167849665,5.225005952291618,4.088124289572168
Net Income Continuous Operations,1.042501490166751,2.3411613361018766,0.8169197432634256
Net Income Continuous Operations,1.042501490166751,2.3411613361018766,0.8169197432634256
Pretax Income,1.0362517929784474,2.4548495642247548,0.9308875832391768
Pretax Income,1.0362517929784474,2.4548495642247548,0.9308875832391768
Diluted EPS,1.2456028996460022,2.7983151524157983,0.9645403306200495
Diluted EPS,1.2456028996460022,2.7983151524157983,0.9645403306200495
Common Stock Equity,2.8555592583040443,2.6246542872951606,2.1638616878455172
Net Income From Continuing And Discontinued Operation,1.0420709790575402,2.3433013904478597,0.8160427159646776
Net Income From Continuing And Discontinued Operation,1.0420709790575402,2.3433013904478597,0.8160427159646776
Total Revenue,0.33183079205319,0.5441649082262736,0.28207218757835517
Total Revenue,0.33183079205319,0.5441649082262736,0.28207218757835517
Total Capitalization,5.849730153700945,5.883406120647601,4.998646625412723
Diluted Average Shares,-0.2392193572549973,-0.24316063320545236,-0.23772439426429984
Diluted Average Shares,-0.2392193572549973,-0.24316063320545236,-0.23772439426429984
Ordinary Shares Number,-0.25245218319019547,-0.2533594975486,-0.24626796774584028
Net Income,1.0420690334502745,2.343300338003086,0.8160406152119704
Net Income,1.0420690334502745,2.343300338003086,0.8160406152119704
Capital Stock,0.8004781492347715,0.8004781492347715,0.8503061879723215
Diluted NI Availto Com Stockholders,0.9876139222095193,2.2956834130145536,0.75476319644669
Diluted NI Availto Com Stockholders,0.9876139222095193,2.2956834130145536,0.75476319644669
Tangible Book Value,3.318291884591779,3.190515078246867,2.6643941672765963
Tax Rate For Calcs,-0.3622447565198547,0.11162272818518684,0.6803584833281775
Tax Rate For Calcs,-0.3622447565198547,0.11162272818518684,0.6803584833281775
