,2022-12-31JPM,2021-12-31JPM,2020-12-31JPM
Basic EPS,0.2755555218418207,0.4406906616216732,0.11443582619035374
Basic EPS,0.2755555218418207,0.4406906616216732,0.11443582619035374
Net Income Common Stockholders,4.152027812330582,5.488359470586757,3.0838188663943953
Net Income Common Stockholders,4.152027812330582,5.488359470586757,3.0838188663943953
Total Liabilities Net Minority Interest,13.765199129812997,14.08136846864291,12.65067819489175
Net Income Including Noncontrolling Interests,4.334741697726782,5.666250459691227,3.2672109817400896
Net Income Including Noncontrolling Interests,4.334741697726782,5.666250459691227,3.2672109817400896
Net Income From Continuing Operation Net Minority Interest,4.369724178324392,5.7092332099399785,3.2957792848026077
Net Income From Continuing Operation Net Minority Interest,4.369724178324392,5.7092332099399785,3.2957792848026077
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,8.274154877675707,8.328195327616688,7.883437908687394
Share Issued,2.0375586819669165,2.0375586819669165,2.0375586819669165
Invested Capital,9.522162636961847,9.673031697766545,9.045730521257905
Net Tangible Assets,7.71250100855293,7.9159570150884795,7.5232388136422
Normalized Income,4.45875257802265,5.8331581294196715,3.356829568387863
Normalized Income,4.45875257802265,5.8331581294196715,3.356829568387863
Basic Average Shares,1.5568081026468608,1.5951072755013502,1.6369819546187363
Basic Average Shares,1.5568081026468608,1.5951072755013502,1.6369819546187363
Operating Revenue,1.7730684818298355,1.6497108534065756,1.6177542049852538
Operating Revenue,1.7730684818298355,1.6497108534065756,1.6177542049852538
Common Stock,0.19138453838871566,0.19138453838871566,0.19138453838871566
Stockholders Equity,8.391200074104427,8.445914049556729,7.995613459385782
Total Assets,13.542173965651749,13.836155486516576,12.48074443720648
Net Income Continuous Operations,4.349239472659169,5.683451602789936,3.2795413443079404
Net Income Continuous Operations,4.349239472659169,5.683451602789936,3.2795413443079404
Pretax Income,4.455618599611381,5.8572660213266445,3.372574970007419
Pretax Income,4.455618599611381,5.8572660213266445,3.372574970007419
Diluted EPS,0.29622425953390286,0.4689826431269226,0.1266357545389202
Diluted EPS,0.29622425953390286,0.4689826431269226,0.1266357545389202
Common Stock Equity,7.892740232638275,7.7134653969616815,7.395609428333454
Net Income From Continuing And Discontinued Operation,4.355354314017565,5.692207381744384,3.283538826709845
Net Income From Continuing And Discontinued Operation,4.355354314017565,5.692207381744384,3.283538826709845
Total Revenue,1.7730924945822981,1.6497422263260788,1.6177874846070295
Total Revenue,1.7730924945822981,1.6497422263260788,1.6177874846070295
Total Capitalization,9.577872964353679,9.697149180275568,9.110778015253938
Diluted Average Shares,1.5356447040445371,1.5741060945531913,1.6154215105059506
Diluted Average Shares,1.5356447040445371,1.5741060945531913,1.6154215105059506
Ordinary Shares Number,1.500516479345546,1.5071871040627223,1.5781904808126026
Net Income,4.355354642642729,5.6922086279833755,3.2835384196425577
Net Income,4.355354642642729,5.6922086279833755,3.2835384196425577
Capital Stock,2.873025592484428,3.613868872434322,3.138011102490719
Diluted NI Availto Com Stockholders,4.152066619326001,5.488345175880561,3.083900120721178
Diluted NI Availto Com Stockholders,4.152066619326001,5.488345175880561,3.083900120721178
Tangible Book Value,7.097247246340287,7.044788501675658,6.8046051941866885
Tax Rate For Calcs,-0.10500240767997518,-0.037307052722112044,-0.06438519470525729
Tax Rate For Calcs,-0.10500240767997518,-0.037307052722112044,-0.06438519470525729
