,2022-12-31AEE,2021-12-31AEE,2020-12-31AEE
Basic EPS,-0.12297730790043722,-0.13803522338188273,-0.15459893041147282
Basic EPS,-0.12297730790043722,-0.13803522338188273,-0.15459893041147282
Net Income Common Stockholders,-0.23289308835394362,-0.24347190837972052,-0.25845857008290446
Net Income Common Stockholders,-0.23289308835394362,-0.24347190837972052,-0.25845857008290446
Total Liabilities Net Minority Interest,-0.14986138801153948,-0.15552115560216295,-0.16781378822367873
Net Income Including Noncontrolling Interests,-0.23733806973547786,-0.24783222773932598,-0.26257402112568407
Net Income Including Noncontrolling Interests,-0.23733806973547786,-0.24783222773932598,-0.26257402112568407
Net Income From Continuing Operation Net Minority Interest,-0.23045498992421726,-0.24101220128241851,-0.255968250706537
Net Income From Continuing Operation Net Minority Interest,-0.23045498992421726,-0.24101220128241851,-0.255968250706537
Tax Effect Of Unusual Items,0.1528714226668491,0.1528714226668491,0.1359644425032954
Tax Effect Of Unusual Items,0.1528714226668491,0.1528714226668491,0.1359644425032954
Total Equity Gross Minority Interest,-0.20658303102850714,-0.23090876002700908,-0.25345822911101645
Share Issued,-0.3523642350002434,-0.3550384076047552,-0.357774770269837
Invested Capital,-0.11457366565340239,-0.15269023141250743,-0.1992420214578919
Net Tangible Assets,0.15920956082299284,0.131640811320943,0.10564156983509894
Normalized Income,-0.2660379558040039,-0.2768702007202499,-0.2874471141491844
Normalized Income,-0.2660379558040039,-0.2768702007202499,-0.2874471141491844
Basic Average Shares,-0.3047929850774624,-0.3062369395297861,-0.31263159496150517
Basic Average Shares,-0.3047929850774624,-0.3062369395297861,-0.31263159496150517
Operating Revenue,-0.36714026294197144,-0.3948584879600214,-0.4054988814410386
Operating Revenue,-0.36714026294197144,-0.3948584879600214,-0.4054988814410386
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.19916840381726764,-0.2237973131016463,-0.24702408151092417
Total Assets,-0.16205129484290268,-0.1702447302709944,-0.18424043255826036
Net Income Continuous Operations,-0.2321230087065333,-0.242638473046089,-0.2574101967611791
Net Income Continuous Operations,-0.2321230087065333,-0.242638473046089,-0.2574101967611791
Pretax Income,-0.24349959661541476,-0.2542766706999678,-0.26683248516740815
Pretax Income,-0.24349959661541476,-0.2542766706999678,-0.26683248516740815
Diluted EPS,-0.12378465470600755,-0.13963404769619284,-0.1575966930850695
Diluted EPS,-0.12378465470600755,-0.13963404769619284,-0.1575966930850695
Common Stock Equity,-0.19576902305223004,-0.22145692289735985,-0.2456823928008115
Net Income From Continuing And Discontinued Operation,-0.2357036691816335,-0.24623994781637293,-0.26116634254892046
Net Income From Continuing And Discontinued Operation,-0.2357036691816335,-0.24623994781637293,-0.26116634254892046
Total Revenue,-0.3669885540424236,-0.3947051252449065,-0.4053448838639018
Total Revenue,-0.3669885540424236,-0.3947051252449065,-0.4053448838639018
Total Capitalization,-0.1225254328791696,-0.15573702234494757,-0.19436634908763906
Diluted Average Shares,-0.30622100220470216,-0.3075121089532259,-0.31355992477525807
Diluted Average Shares,-0.30622100220470216,-0.3075121089532259,-0.31355992477525807
Ordinary Shares Number,-0.30162779326464434,-0.30452767080240434,-0.30749498735267033
Net Income,-0.23570649185139259,-0.24624277771821698,-0.2611691826962182
Net Income,-0.23570649185139259,-0.24624277771821698,-0.2611691826962182
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.23268003811596236,-0.24325843777203465,-0.2582445039514704
Diluted NI Availto Com Stockholders,-0.23268003811596236,-0.24325843777203465,-0.2582445039514704
Tangible Book Value,0.17982534281385726,0.15101047830738543,0.1238360640079652
Tax Rate For Calcs,-0.70072153130917,-0.70072153130917,-0.562704241621079
Tax Rate For Calcs,-0.70072153130917,-0.70072153130917,-0.562704241621079
