,2022-12-31COF,2021-12-31COF,2020-12-31COF
Basic EPS,0.5706906652781528,1.0254397128178072,-0.07127846474747428
Basic EPS,0.5706906652781528,1.0254397128178072,-0.07127846474747428
Net Income Common Stockholders,0.5189587634780576,1.1387013033214877,-0.06904731628804185
Net Income Common Stockholders,0.5189587634780576,1.1387013033214877,-0.06904731628804185
Total Liabilities Net Minority Interest,1.4112530524881315,1.2810284954709574,1.2396344274349058
Net Income Including Noncontrolling Interests,0.5473501019570233,1.1757502776636433,-0.03307678001771967
Net Income Including Noncontrolling Interests,0.5473501019570233,1.1757502776636433,-0.03307678001771967
Net Income From Continuing Operation Net Minority Interest,0.5595763267145119,1.1922549216810028,-0.023960963001304125
Net Income From Continuing Operation Net Minority Interest,0.5595763267145119,1.1922549216810028,-0.023960963001304125
Tax Effect Of Unusual Items,0.09491586740852775,0.1359644425032954,0.12443848792003552
Tax Effect Of Unusual Items,0.09491586740852775,0.1359644425032954,0.12443848792003552
Total Equity Gross Minority Interest,1.0562173437761517,1.3105235725513322,1.285686039848654
Share Issued,-0.0859827985161057,-0.08926424338027061,-0.09245155052785006
Invested Capital,1.1295470477182064,1.177147001728158,1.1232081513610614
Net Tangible Assets,1.1045993024106133,1.3926381431238621,1.3688908044438786
Normalized Income,0.5567437763721746,1.1985047688258472,-0.04644307611355958
Normalized Income,0.5567437763721746,1.1985047688258472,-0.04644307611355958
Basic Average Shares,-0.2130674974869975,-0.17820631142375484,-0.16768607184253959
Basic Average Shares,-0.2130674974869975,-0.17820631142375484,-0.16768607184253959
Operating Revenue,0.09913951338533883,0.031484344835204243,-0.0024230423909706806
Operating Revenue,0.09913951338533883,0.031484344835204243,-0.0024230423909706806
Common Stock,-0.2437530404452058,-0.2437530404452058,-0.2437530404452058
Stockholders Equity,1.0833027957259844,1.3407785342472054,1.3156314424655067
Total Assets,1.414476740536049,1.3280924706561035,1.2873746096697498
Net Income Continuous Operations,0.5541583188738143,1.184335074651472,-0.027071454085197642
Net Income Continuous Operations,0.5541583188738143,1.184335074651472,-0.027071454085197642
Pretax Income,0.5919852244055148,1.2793114347106478,-0.03967687509396569
Pretax Income,0.5919852244055148,1.2793114347106478,-0.03967687509396569
Diluted EPS,0.6037024835434976,1.0807692125480752,-0.06884009234003186
Diluted EPS,0.6037024835434976,1.0807692125480752,-0.06884009234003186
Common Stock Equity,1.141845702299245,1.4103923483287146,1.384163985244269
Net Income From Continuing And Discontinued Operation,0.5527611819847006,1.1836835811839783,-0.02999537202719699
Net Income From Continuing And Discontinued Operation,0.5527611819847006,1.1836835811839783,-0.02999537202719699
Total Revenue,0.09926340157298363,0.03161226968720496,-0.0022930944453268447
Total Revenue,0.09926340157298363,0.03161226968720496,-0.0022930944453268447
Total Capitalization,1.1878446231636532,1.237051436970795,1.1812917409334815
Diluted Average Shares,-0.2153678589006906,-0.18071183565084326,-0.1707227465964755
Diluted Average Shares,-0.2153678589006906,-0.18071183565084326,-0.1707227465964755
Ordinary Shares Number,-0.22116043890081208,-0.19921589550571522,-0.16879168532442934
Net Income,0.5527589005159658,1.1836817327793785,-0.029998053499106943
Net Income,0.5527589005159658,1.1836817327793785,-0.029998053499106943
Capital Stock,-0.266340160136175,-0.266340160136175,-0.266340160136175
Diluted NI Availto Com Stockholders,0.5191419374406038,1.1388598506255052,-0.06884077677608087
Diluted NI Availto Com Stockholders,0.5191419374406038,1.1388598506255052,-0.06884077677608087
Tangible Book Value,1.1679469588352949,1.469005233790289,1.4441845089183776
Tax Rate For Calcs,0.15223994115990472,0.3282478640503485,-0.5382526794102989
Tax Rate For Calcs,0.15223994115990472,0.3282478640503485,-0.5382526794102989
