,2022-12-31HLT,2021-12-31HLT,2020-12-31HLT
Basic EPS,-0.1029000872585099,-0.25799661671739865,-0.4612784757169131
Basic EPS,-0.1029000872585099,-0.25799661671739865,-0.4612784757169131
Net Income Common Stockholders,-0.2100982499650672,-0.3165161418910372,-0.45819676723626357
Net Income Common Stockholders,-0.2100982499650672,-0.3165161418910372,-0.45819676723626357
Total Liabilities Net Minority Interest,-0.194178906904467,-0.19563439452880074,-0.1873963345750718
Net Income Including Noncontrolling Interests,-0.21510044920351398,-0.3212913337662629,-0.46208795365122524
Net Income Including Noncontrolling Interests,-0.21510044920351398,-0.3212913337662629,-0.46208795365122524
Net Income From Continuing Operation Net Minority Interest,-0.20770671306904545,-0.3139072320890464,-0.455298455636385
Net Income From Continuing Operation Net Minority Interest,-0.20770671306904545,-0.3139072320890464,-0.455298455636385
Tax Effect Of Unusual Items,0.13982730137913874,0.0722774049211373,-0.09593481080790775
Tax Effect Of Unusual Items,0.13982730137913874,0.0722774049211373,-0.09593481080790775
Total Equity Gross Minority Interest,-0.5598781174114531,-0.551478515442911,-0.5715592843067734
Share Issued,-0.3081611655952411,-0.3088241284322341,-0.3097570446403483
Invested Capital,-0.4160788619373401,-0.4118196559860826,-0.3950490325530063
Net Tangible Assets,-0.5954849567956221,-0.5854196336482153,-0.6086551762359578
Normalized Income,-0.23839568742008777,-0.3391165079005101,-0.4543889567189485
Normalized Income,-0.23839568742008777,-0.3391165079005101,-0.4543889567189485
Basic Average Shares,-0.293378868930523,-0.29062847949752557,-0.2920036742140243
Basic Average Shares,-0.293378868930523,-0.29062847949752557,-0.2920036742140243
Operating Revenue,-0.44380429797270066,-0.4663087301850521,-0.4811698130802062
Operating Revenue,-0.44380429797270066,-0.4663087301850521,-0.4811698130802062
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.553056568163352,-0.5444913162958886,-0.5648833216315932
Total Assets,-0.246637466399302,-0.24690567014083936,-0.24194201216365516
Net Income Continuous Operations,-0.2098402390346177,-0.3162467234229787,-0.4573292033120173
Net Income Continuous Operations,-0.2098402390346177,-0.3162467234229787,-0.4573292033120173
Pretax Income,-0.19338097053288186,-0.3162186887393404,-0.4714922609866867
Pretax Income,-0.19338097053288186,-0.3162186887393404,-0.4714922609866867
Diluted EPS,-0.10318044381876663,-0.26537256541832954,-0.4788110576861582
Diluted EPS,-0.10318044381876663,-0.26537256541832954,-0.4788110576861582
Common Stock Equity,-0.5648736235497018,-0.5559400841233634,-0.5772089021882048
Net Income From Continuing And Discontinued Operation,-0.2130004973615402,-0.3189904431514785,-0.46010131772388163
Net Income From Continuing And Discontinued Operation,-0.2130004973615402,-0.3189904431514785,-0.46010131772388163
Total Revenue,-0.35251848232058997,-0.40545128145009174,-0.4317137523079786
Total Revenue,-0.35251848232058997,-0.40545128145009174,-0.4317137523079786
Total Capitalization,-0.40995789437688124,-0.40555490789151655,-0.3882181486053932
Diluted Average Shares,-0.294329229520931,-0.2916111100503548,-0.2929701697856429
Diluted Average Shares,-0.294329229520931,-0.2916111100503548,-0.2929701697856429
Ordinary Shares Number,-0.29767566414036234,-0.2901017855677248,-0.2911134415662786
Net Income,-0.21300330444787813,-0.3189933229891473,-0.46010429441983103
Net Income,-0.21300330444787813,-0.3189933229891473,-0.46010429441983103
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.20988610552371137,-0.31629976873062904,-0.45797476412445426
Diluted NI Availto Com Stockholders,-0.20988610552371137,-0.31629976873062904,-0.45797476412445426
Tangible Book Value,-0.6089815730508094,-0.5984612945490653,-0.6227470900056338
Tax Rate For Calcs,1.1282309517294,1.1028722717621842,0.3929510843190741
Tax Rate For Calcs,1.1282309517294,1.1028722717621842,0.3929510843190741
